Alpina model	BMW donor model	Alpina Engine	Power	Torque	Production
A1/3	E21 320	A1/3	kW (PS; bhp) @ 5800	N·m (ft·lbf) @ 4000	1975–1977
A2/3	E21 320	A2/3	kW (PS; bhp) @ 6900	N·m (ft·lbf) @ 5500	1975–1977
A4/3	E21 320i	A4/3	kW (PS; bhp) @ 6700	N·m (ft·lbf) @ 5500	1976–1977
A4S/3	E21 320i	A4S/3	kW (PS; bhp) @ 6700	N·m (ft·lbf) @ 5500	1976–1977
C1 2,3	E21 323i	C1	kW (PS; bhp) @ 6000	N·m (ft·lbf) @ 4500	1980–1983
B6 2,8	E21 323i	B6	kW (PS; bhp) @ 6200	N·m (ft·lbf) @ 4500	1978–1981
B6 2,8	E21 323i	B6	kW (PS; bhp) @ 6000	N·m (ft·lbf) @ 5000	1981–1983
C1 2,3 / 1	E30 323i	C1/1	kW (PS; bhp) @ 6000	N·m (ft·lbf) @ 5000	1983–1985
C1 2,5	E30 325i	C2/3	kW (PS; bhp) @ 5800	N·m (ft·lbf) @ 5000	1983–1985
C2 2,5	E30 325i	C2	kW (PS; bhp) @ 5800	N·m (ft·lbf) @ 4800	1986-1986
C2 2,7	E30 325i	C2/1	kW (PS; bhp) @ 5800	N·m (ft·lbf) @ 4500	1986–1987
C2 2,7	E30 325i	C2/2	kW (PS; bhp) @ 6000	N·m (ft·lbf) @ 4800	1987-1987
B3 2,7	E30 325i	C2/2	kW (PS; bhp) @ 6000	N·m (ft·lbf) @ 4800	1987–1992
B6 2,8 / 1	E30 323i/325i	B6/2	kW (PS; bhp) @ 6100	N·m (ft·lbf) @ 5000	1984–1986
B6 3,5	E30 323i/325i	B10/2	kW (PS; bhp) @ 6000	N·m (ft·lbf) @ 4000	1985–1987
B6 3,5	E30 325i	B10/3	kW (PS; bhp) @ 5900	N·m (ft·lbf) @ 4000	1986–1987
B6 3,5	E30 325i	B10/5	kW (PS; bhp) @ 5900	N·m (ft·lbf) @ 4000	1987–1990
B6 3,5 S	E30 M3	B10/5	kW (PS; bhp) @ 5900	N·m (ft·lbf) @ 4000	1987–1990
B6 2,8	E36 325i	E1	kW (PS; bhp) @ 5900	N·m (ft·lbf) @ 4700	1992–1993
B3 3,0	E36 325i	E3	kW (PS; bhp) @ 5700	N·m (ft·lbf) @ 4400	1993–1996
B3 3,2	E36 328i	E4	kW (PS; bhp) @ 5800	N·m (ft·lbf) @ 4400	1996–1999
B8 4,6	E36 328i	F2/1	kW (PS; bhp) @ 5700	N·m (ft·lbf) @ 3900	1995–1998
B3 3,3	E46 328i	E4/4	kW (PS; bhp) @ 6200	N·m (ft·lbf) @ 4500	1999–2002
B3 3,3 ALLRAD	E46 330ix	E4/8	kW (PS; bhp) @ 6200	N·m (ft·lbf) @ 4500	2001–2005
B3 S	E46 330i	E5/1	kW (PS; bhp) @ 6300	N·m (ft·lbf) @ 4800	2002–2006
B3 Bi-Turbo	E90/E91/E92/E93 335i	K2	kW (PS; bhp) @ 5500	N·m (ft·lbf) @ 3800	2007–2010
B3 Bi-Turbo Allrad	E90/E91/E92 335xi	K2	kW (PS; bhp) @ 5500	N·m (ft·lbf) @ 3800	2008–2010
B7 Turbo	E12 528i	B7	kW (PS; bhp) @ 6000	N·m (ft·lbf) @ 3000	1978–1982
B7 S Turbo	E12 528i	B7S	kW (PS; bhp) @ 5800	N·m (ft·lbf) @ 3000	1981–1982
B9 3,5	E28 528i	B9	kW (PS; bhp) @ 5700	N·m (ft·lbf) @ 4000	1981–1983
B9 3,5 / 1	E28 528i	B9/1	kW (PS; bhp) @ 5700	N·m (ft·lbf) @ 4000	1983–1985
B7 Turbo / 1	E28 528i/535i	B7/1	kW (PS; bhp) @ 5800	N·m (ft·lbf) @ 3000	1984–1987
B10 3,5	E28 535i	B10	kW (PS; bhp) @ 5800	N·m (ft·lbf) @ 4000	1985–1987
B7 Turbo / 1	E28 535i	B7/3	kW (PS; bhp) @ 5700	N·m (ft·lbf) @ 2400	1986–1987
