Name	Years	Gender	Area	Authority	Decile	Roll
Arahoe School	1–6	Coed	New Lynn	State	5	634
Avondale Intermediate	7–8	Coed	Avondale	State	3	319
Avondale Primary School	1–6	Coed	Avondale	State	3	342
Blockhouse Bay Intermediate	7–8	Coed	Blockhouse Bay	State	6	825
Blockhouse Bay School	1–6	Coed	Blockhouse Bay	State	8	597
Chaucer School	1–6	Coed	Blockhouse Bay	State	4	233
Fruitvale Road School	1–6	Coed	New Lynn	State	4	203
Glenavon School	1–8	Coed	Blockhouse Bay	State	3	239
Green Bay Primary School	1–8	Coed	Green Bay	State	7	501
Kelston Intermediate	7–8	Coed	Kelston	State	3	265
Kelston School	1–6	Coed	Kelston	State	3	322
New Lynn School	1–6	Coed	New Lynn	State	4	330
New Windsor School	1–6	Coed	Avondale	State	5	554
Rosebank School (Auckland)	1–6	Coed	Avondale	State	2	464
St Dominic's Catholic School	1–8	Coed	Blockhouse Bay	State integrated	6	253
St Leonards Road School	1–6	Coed	Kelston	State	3	487
St Mary's School	1–8	Coed	Avondale	State integrated	3	228
