Round	Pick	Overall	Name	Position	College
1	12	12	Ed Vereb	HB	Maryland
2	11	24	John Paluck	DE	Pittsburgh
3	11	36	Fred Wyant	QB	West Virginia
4	4	41	Fran Machinsky	OT	Ohio State
5	10	59	Gary Lowe	DB	Michigan State
7	10	83	Donnie Caraway	RB	Houston
8	9	94	Dick James	HB	Oregon
9	10	107	Whitey Rouviere	RB	Miami (FL)
11	10	131	Tom Powell	G	Colgate
12	8	141	Jerry Planutis	HB	Michigan State
12	9	142	Gil Moreno	OT	UCLA
13	10	155	Jerry Ward	G	Dayton
14	9	166	Pat Uebel	RB	Army
16	9	190	Wells Gray	G	Wisconsin
17	10	203	Eagle Day	QB	Mississippi
18	9	214	Jim Pyburn	E	Auburn
19	10	227	Ray Lemek	OT	Notre Dame
20	9	238	Vince Gonzalez	RB	Louisiana State
21	10	251	Howard Schnellenberger	E	Kentucky
22	9	262	George Nicula	OT	Notre Dame
23	10	275	Don St. John	RB	Xavier [w ]
24	9	286	Johnny Tatum	C	Texas
25	10	299	Franklin Brooks	G	Georgia Tech
26	9	310	Dave Burnham	RB	Wheaton
27	10	323	Royce Flippin	RB	Princeton
28	9	334	Billy Hicks	RB	Alabama
29	10	347	Pat Bisceglia	G	Notre Dame
30	8	357	Buck Mystrom	G	Michigan State
