Driver	Constructor	Laps	Time/Retired	Grid
Michael Schumacher	Benetton - Renault	71	1:38:34.154	2
David Coulthard	Williams - Renault	71	+11.060	3
Gerhard Berger	Ferrari	70	+1 lap	5
Mika Häkkinen	McLaren - Mercedes	70	+1 lap	7
Jean Alesi	Ferrari	70	+1 lap	6
Mark Blundell	McLaren - Mercedes	70	+1 lap	9
Mika Salo	Tyrrell - Yamaha	69	+2 laps	12
Aguri Suzuki	Ligier - Mugen-Honda	69	+2 laps	15
Andrea Montermini	Pacific - Ford	65	+6 laps	22
Pedro Diniz	Forti - Ford	64	+7 laps	25
Gianni Morbidelli	Footwork - Hart	62	Engine	13
Taki Inoue	Footwork - Hart	48	Engine	21
Luca Badoer	Minardi - Ford	47	Engine	18
Roberto Moreno	Forti - Ford	47	Spun off	23
Karl Wendlinger	Sauber - Ford	41	Electrical	19
Damon Hill	Williams - Renault	30	Gearbox	1
Johnny Herbert	Benetton - Renault	30	Collision	4
Bertrand Gachot	Pacific - Ford	23	Gearbox	20
Rubens Barrichello	Jordan - Peugeot	16	Gearbox	16
Jos Verstappen	Simtek - Ford	16	Gearbox	24
Ukyo Katayama	Tyrrell - Yamaha	15	Spun off	11
Eddie Irvine	Jordan - Peugeot	15	Clutch	8
Domenico Schiattarella	Simtek - Ford	12	Steering	26
Heinz-Harald Frentzen	Sauber - Ford	10	Electrical	14
Olivier Panis	Ligier - Mugen-Honda	0	Collision	10
Pierluigi Martini	Minardi - Ford	0	Gearbox	17
Source:	Source:	Source:	Source:	Source:
