Rank	Building	Location	Height	Floors
1	Terrasses de la Chaudière – Tower 1	Gatineau	124 m (406ft)	30
2	Place de Ville II – Tower C	Downtown Ottawa	112 m (367ft)	29
3	Minto Metropole	Westboro	109 m (354ft)	32
4	Le Parc	Manor Park	104 m (341ft)	30
5	Place du Portage – Tower 1	Gatineau	101 m (331ft)	25
6	R.H. Coats Building	Tunney's Pasture	99 m (324ft)	26
7	Minto Place Suite Hotel	Downtown Ottawa	98 m (322ft)	30
8	Ottawa Marriott Hotel	Downtown Ottawa	96 m (314ft)	29
9	Delta Ottawa City Centre Hotel	Downtown Ottawa	96 m (314ft)	26
10	World Exchange Plaza West	Downtown Ottawa	96 (314ft)	20
11	Place Bell	Downtown Ottawa	94 m (308ft)	27
12	Place Export Canada	Downtown Ottawa	93 m (305ft)	26
13	The Classics	Hurdman	93 m (305ft)	29
14	Canadian Parliament	Parliament Hill	92 m (302ft)	13
15	Island Park Towers III	Westboro	91 m (299ft)	26
16	Constitution Square II	Downtown Ottawa	90 m (296ft)	21
17	The Carlisle	Downtown Ottawa	90 m (296ft)	28
