District	Incumbent	Party	First elected	Result	Candidates
Texas 1	Sam B. Hall	Democratic	1976	Re-elected	Sam B. Hall (D) Unopposed
Texas 3	Steve Bartlett	Republican	1982	Re-elected	Steve Bartlett (R) 83.0% Jim Westbrook (D) 17.0%
Texas 4	Ralph Hall	Democratic	1980	Re-elected	Ralph Hall (D) 58.0% Thomas Blow (R) 42.0%
Texas 5	John Wiley Bryant	Democratic	1982	Re-elected	John Wiley Bryant (D) Unopposed
Texas 6	Phil Gramm	Republican	1978	Retired to run for U. S. Senate Republican hold	Joe Barton (R) 56.6% Dan Kubiak (D) 43.4%
Texas 8	Jack Fields	Republican	1980	Re-elected	Jack Fields (R) 64.6% Don Buford (D) 35.4%
Texas 9	Jack Brooks	Democratic	1952	Re-elected	Jack Brooks (D) 58.8% Jim Mahan (R) 41.2%
Texas 10	J. J. Pickle	Democratic	1963	Re-elected	J. J. Pickle (D) Unopposed
Texas 11	Marvin Leath	Democratic	1978	Re-elected	Marvin Leath (D) Unopposed
Texas 12	Jim Wright	Democratic	1954	Re-elected	Jim Wright (D) Unopposed
Texas 13	Jack Hightower	Democratic	1974	Lost re-election Republican gain	Beau Boulter (R) 53.0% Jack Hightower (D) 47.0%
Texas 15	Kika de la Garza	Democratic	1964	Re-elected	Kika de la Garza (D) Unopposed
Texas 16	Ronald D. Coleman	Democratic	1982	Re-elected	Ronald D. Coleman (D) 57.4% Jack Hammond (R) 42.6%
Texas 17	Charles Stenholm	Democratic	1978	Re-elected	Charles Stenholm (D) Unopposed
Texas 19	Kent Hance	Democratic	1978	Retired to run for U. S. Senate Republican gain	Larry Combest (R) 58.1% Don R. Richards (D) 41.9%
Texas 20	Henry B. Gonzalez	Democratic	1961	Re-elected	Henry B. Gonzalez (D) Unopposed
Texas 21	Tom Loeffler	Republican	1978	Re-elected	Tom Loeffler (R) 80.6% Joe Sullivan (D) 19.4%
Texas 22	Ron Paul	Republican	1978	Retired to run for U. S. Senate Republican hold	Tom DeLay (R) 65.3% Doug Williams (R) 34.7%
Texas 23	Abraham Kazen, Jr.	Democratic	1966	Lost renomination Democratic hold	Albert Bustamante (D) Unopposed
Texas 24	Martin Frost	Democratic	1978	Re-elected	Martin Frost (D) 59.5% Bob Burk (R) 40.5%
Texas 26	Tom Vandergriff	Democratic	1982	Lost re-election Republican gain	Dick Armey (R) 51.3% Tom Vandergriff (D) 48.7%
