Country	CO2 emissions	Area (in km 2 )	Population	Emission / Person
World	33,508,901	148,940,000	6,852,472,823	4.9
China	8,240,958	9,640,821	1,339,724,852	6.2
United States	5,492,170	9,826,675	312,793,000	17.6
India	2,069,738	3,287,263	1,210,193,422	1.7
Russia	1,688,688	17,075,400	142,946,800	11.8
Japan	1,138,432	377,944	128,056,026	8.9
Germany	762,543	357,021	81,799,600	9.3
Iran	574,667	1,648,195	75,330,000	7.6
South Korea	563,126	100,210	48,875,000	11.5
Canada	518,475	9,984,670	34,685,000	14.9
Saudi Arabia	493,726	2,149,690	27,136,977	18.2
United Kingdom	493,158	243,610	62,262,000	7.9
Indonesia	476,557	1,919,440	237,424,363	2.0
Mexico	466,131	1,972,550	112,322,757	4.1
South Africa	451,839	1,221,037	50,586,757	8.9
Brazil	419 537	8,514,877	190,732,694	2.2
Italy	407 924	301,338	60,681,514	6.7
Australia	365 513	7,617,930	22,794,166	16.0
France	362 556	674,843	65,821,885	5.5
Poland	309 985	312,685	38,186,860	8.1
