Date	Opponent	Score	Loss	Attendance	Record
May 1	New York Mets	3-6	Ayala (1-1)	27,333	13-12
May 2	@ Los Angeles Dodgers	6-2	Erickson (1-3)	34,079	14-12
May 3	@ Los Angeles Dodgers	2-4	Rauch (0-1)	41,190	14-13
May 4	@ Los Angeles Dodgers	5-2	Pérez (4-2)	33,081	15-13
May 6	@ San Francisco Giants	9-3	Lowry (1-3)	40,425	16-13
May 7	@ San Francisco Giants	11-8	Accardo (0-1)	40,220	17-13
May 8	@ San Francisco Giants	3-4 (13)	Rauch (1-2)	36,903	17-14
May 9	@ Arizona Diamondbacks	4-3	Valverde (0-1)	19,440	18-14
May 10	@ Arizona Diamondbacks	2-3	Armas (0-1)	23,181	18-15
May 11	@ Arizona Diamondbacks	2-3	Rauch (1-3)	21,011	18-16
May 13	Chicago Cubs	3-6	Ayala (2-2)	36,585	18-17
May 14	Chicago Cubs	4-3	Zambrano (3-2)	42,829	19-17
May 15	Chicago Cubs	5-4	Bartosh (0-2)	44,103	20-17
May 16	Milwaukee Brewers	5-2	Davis (4-5)	26,606	21-17
May 17	Milwaukee Brewers	2-8	Vargas (0-1)	26,427	21-18
May 18	Milwaukee Brewers	1-0	Capuano (3-3)	29,216	22-18
May 19	Milwaukee Brewers	3-2	Santos (1-4)	30,968	23-18
May 20	Toronto Blue Jays	1-6	Vargas (0-2)	17,465	23-19
May 21	Toronto Blue Jays	0-7	Armas (1-2)	24,518	23-20
May 22	Toronto Blue Jays	9-2	Towers (5-2)	28,408	24-20
May 23	@ Cincinnati Reds	3-5	Loaiza (1-3)	17,630	24-21
May 24	@ Cincinnati Reds	3-4 (15)	Ayala (2-3)	36,539	24-22
May 25	@ Cincinnati Reds	3-12	Vargass (0-3)	20,497	24-23
May 27	@ St. Louis Cardinals	3-6	Armas (1-3)	47,383	24-24
May 28	@ St. Louis Cardinals	1-3	Loaiza (1-4)	49,123	24-25
May 29	@ St. Louis Cardinals	3-2	Carpenter (7-3)	47,012	25-25
May 30	Atlanta Braves	3-2	Davies (2-1)	39,705	26-25
May 31	Atlanta Braves	5-4	Colón (0-2)	29,512	27-25
