Generation	Birthday	Birthplace	Blood Type	Agency
First (2006)	1988.07.31	Tokyo	AB	Box Corporation
First (2006)	1991.06.11	Kanagawa	A	Box Corporation
First (2006)	1991.09.27	Kanagawa	O	Production Ogi
Second (2008)	1989.08.05	Shizuoka	A	Production Ogi
Second (2008)	1994.09.29	Chiba	B	Box Corporation
Second (2008)	1989.05.03	Miyazaki	O	Sony Music Artists Inc.
Second (2008)	1994.04.21	Saitama	B	Vision Factory
Second (2008)	1990.09.05	Hokkaido	B	LesPros Entertainment
Second (2008)	1992.07.10	Tokyo	A	Biscuit Entertainment
Third (2009)	1992.12.23	Shiga	A	Avex Management
Third (2009)	1993.07.17	Hyogo	O	LesPros Entertainment
Third (2009)	1997.01.21	Kanagawa	A	Biscuit Entertainment
Fourth (2010)	1996.08.04	Osaka	O	Avex Management
Fourth (2010)	1995.08.15	Kagawa	A	Box Corporation
Fourth (2010)	1995.10.16	Oita	B	Horipro
Fourth (2010)	1994.04.19	Chiba	B	Horipro
Fifth (2012)	1997.03.27	Saitama	A	Biscuit Entertainment
Fifth (2012)	1997.08.06	Fukuoka	A	Box Corporation
Fifth (2012)	1997.04.30	Kanagawa	A	Biscuit Entertainment
Fifth (2012)	1999.07.16	Osaka	A	Production Ogi
NEO (2013)	1998.10.30	Kanagawa	O	Shochiku Geino
NEO (2013)	1995.07.31	Tokyo	A	Avex Artist Academy (aaa)
NEO (2013)	1999.09.25	Kanagawa	AB	Biscuit Entertainment
NEO (2013)	1998.11.09	Saitama	O	Box Corporation
NEO (2013)	1996.04.17	Tokyo	A	Avex Management
