Year	Stamp duty reserve tax	Standard Stamp Duty	Standard Duties Total Revenue (in €million)	over Total Tax Revenue (in %)	over GDP (in %)
1995-96	n.a.	n/a	1,810	0.59	0.20
1996-97	n.a.	n/a	1,966	0.60	0.20
1997-98	n.a.	n/a	3,033	0.73	0.25
1998-99	n.a.	n/a	3,696	0.79	0.28
1999-00	n.a.	n/a	5,617	1.10	0.40
2000-01	n.a.	n/a	7,383	1.26	0.46
2001-02	4,218	367	4,586	0.77	0.28
2002-03	3,669	455	4,124	0.69	0.24
2003-04	3,280	418	3,698	0.65	0.22
2004-05	3,454	548	4,001	0.64	0.23
2005-06	4,105	961	5,067	0.77	0.28
2006-07	4,767	745	5,511	0.77	0.28
2007-08	5,372	716	6,091	0.82	0.30
2008-09	3,673	349	4,022	n/a	0.22
