Pick	Player	Position	Nationality	NHL team	College/junior/club team
131.	David Hruska	Right Wing	Czech Republic	Ottawa Senators	Sokolov (Czech Republic)
132.	Dmitri Tertyshny	Defence	Russia	Philadelphia Flyers	Traktor Chelyabinsk (Russia)
133.	Peter Leboutillier	Right Wing	Canada	Mighty Ducks of Anaheim	Red Deer Rebels (WHL)
134.	Eduard Pershin	Centre	Russia	Tampa Bay Lightning	Moscow Dynamo (Russia)
135.	Jamie Sokolsky	Defence	Canada	Philadelphia Flyers	Belleville Bulls (OHL)
136.	Sylvain Daigle	Goaltender	Canada	Winnipeg Jets	Shawinigan Cataractes (QMJHL)
137.	Igor Melyakov	Right Wing	Russia	Los Angeles Kings	Yaroslavl Torpedo (Russia)
138.	Boyd Olson	Centre	Canada	Montreal Canadiens	Tri-City Americans (WHL)
139.	Doug Bonner	Goaltender	United States	Toronto Maple Leafs	Seattle Thunderbirds (WHL)
140.	Timo Hakanen	Centre	Finland	San Jose Sharks	Assat Jrs. (Finland)
141.	Dominic Marleau	Defence	Canada	Dallas Stars	Victoriaville Tigres (QMJHL)
142.	Jaroslav Kudrna	Left Wing	Czech Republic	San Jose Sharks	Penticton Panthers (BCJHL)
143.	Peter Slamiar	Right Wing	Slovakia	New York Rangers	Zvolen Jrs. (Slovakia)
144.	Brent Sopel	Defence	Canada	Vancouver Canucks	Swift Current Broncos (WHL)
145.	Yannick Tremblay	Defence	Canada	Toronto Maple Leafs	Beauport Harfangs (QMJHL)
146.	Marc Magliarditi	Goaltender	United States	Chicago Blackhawks	Des Moines Buccaneers ( USHL )
147.	Frederick Jobin	Left Wing	Canada	Washington Capitals	Laval Titan Collège Français (QMJHL)
148.	Adam Young	Defence	Canada	New Jersey Devils	Windsor Spitfires (OHL)
149.	Marty Wilford	Defence	Canada	Chicago Blackhawks	Oshawa Generals (OHL)
150.	Clarke Wilm	Centre	Canada	Calgary Flames	Saskatoon Blades (WHL)
151.	Evgeny Shaldybin	Defence	Russia	Boston Bruins	Yaroslavl Torpedo (Russia)
152.	Martin Spanhel	Left Wing	Czech Republic	Philadelphia Flyers	ZPS Zlín Jrs. (Czech Republic)
153.	Denis Hamel	Left Wing	Canada	St. Louis Blues	Chicoutimi Saguenéens (QMJHL)
154.	Alexei Kolkunov	Centre	Russia	Pittsburgh Penguins	Krylja Sovetov (Russia)
155.	John Cirjak	Right Wing	Canada	Colorado Avalanche	Spokane Chiefs (WHL)
