Game	Date	Opponent	Score	High points	High rebounds	High assists	Location/Attendance	Record
16	July 2	Chicago	W 74-67	Catchings (18)	Sutton-Brown (12)	Catchings , Douglas (3)	Conseco Fieldhouse 6,196	8-8
17	July 5	Connecticut	W 81-74	Douglas , Sutton-Brown (18)	Sutton-Brown (9)	Douglas (5)	Conseco Fieldhouse 6,329	9-8
18	July 8	@ Washington	L 50-48	Hoffman (16)	Hoffman (9)	Bevilaqua (4)	Verizon Center 7,587	9-9
19	July 12	Chicago	W 66-57	Douglas (25)	Catchings (8)	Catchings (4)	Conseco Fieldhouse 7,134	10-9
20	July 16	Atlanta	L 81-77	Catchings (18)	Catchings (12)	Catchings (5)	Conseco Fieldhouse 9,303	10-10
21	July 18	Seattle	L 65-59	Sutton-Brown (12)	Sutton-Brown (7)	Bevilaqua , Bond (3)	Conseco Fieldhouse 7,450	10-11
22	July 19	@ New York Liberty Outdoor Classic	W 71-55	Douglas (20)	Catchings , Sutton-Brown (9)	Catchings , Douglas (4)	Arthur Ashe Stadium 19,393	11-11
23	July 22	@ Chicago	L 68-60	Douglas , Sutton-Brown (14)	Sutton-Brown (10)	Catchings (4)	UIC Pavilion 3,035	11-12
24	July 24	Minnesota	L 84-80	Catchings , Hoffman (17)	Sutton-Brown (9)	Catchings (9)	Conseco Fieldhouse 6,010	11-13
25	July 26	@ Sacramento	L 70-62	Douglas (23)	Hoffman (8)	Catchings , White (4)	Arco Arena 7,082	11-14
