Rank	County	State	Land area (km²)	Land area (mi²)	April 1, 2010 census	April 1, 2010 density (/km²)	April 1, 2010 density (/mi²)	July 1, 2010 official estimate	July 1, 2010 density (/km²)	July 1, 2010 density (/mi²)	July 1, 2011 official estimate	July 1, 2011 density (/km²)	July 1, 2011 density (/mi²)	Mid-2010 to mid-2011 change (Absolute)	Mid-2010 to mid-2011 change (%)	County seat or courthouse
1	Los Angeles County	California	10,509.87	4,057.88	9818605	934	2420	9826773	935	2422	9889056	941	2437	62283	0.63	Los Angeles
2	Cook County	Illinois	2,448.38	945.33	5194675	2122	5495	5199971	2124	5501	5217080	2131	5519	17109	0.33	Chicago
3	Harris County	Texas	4,411.99	1,703.48	4092459	928	2402	4109362	931	2412	4180894	948	2454	71532	1.74	Houston
4	Maricopa County	Arizona	23,828.26	9,200.14	3817117	160	415	3824834	161	416	3880244	163	422	55410	1.45	Phoenix
5	San Diego County	California	10,895.12	4,206.63	3095313	284	736	3105115	285	738	3140069	288	746	34954	1.13	San Diego
6	Orange County	California	2,047.56	790.57	3010232	1470	3808	3017598	1474	3817	3055745	1492	3865	38147	1.26	Santa Ana
7	Miami-Dade County	Florida	4,915.06	1,897.72	2496435	508	1315	2503034	509	1319	2554766	520	1346	51732	2.07	Miami
8	Kings County	New York	183.41	70.82	2504700	13656	35370	2508515	13677	35423	2532645	13809	35764	24130	0.96	Brooklyn
9	Dallas County	Texas	2,256.60	871.28	2368139	1049	2718	2375207	1053	2726	2416014	1071	2773	40807	1.72	Dallas
10	Queens County	New York	281.10	108.53	2230722	7936	20553	2233895	7947	20583	2247848	7997	20711	13953	0.62	Jamaica
11	Riverside County	California	18,664.70	7,206.48	2189641	117	304	2202978	118	306	2239620	120	311	36642	1.66	Riverside
12	San Bernardino County	California	51,947.23	20,056.94	2035210	39	101	2042027	39	102	2065377	40	103	23350	1.14	San Bernardino
13	Clark County	Nevada	20,438.71	7,891.43	1951269	95	247	1953927	96	248	1969975	96	250	16048	0.82	Las Vegas
14	King County	Washington	5,479.29	2,115.57	1931249	352	913	1937157	354	916	1969722	359	931	32565	1.68	Seattle
15	Tarrant County	Texas	2,236.74	863.61	1809034	809	2095	1816850	812	2104	1849815	827	2142	32965	1.81	Fort Worth
16	Santa Clara County	California	3,341.34	1,290.10	1781642	533	1381	1786267	535	1385	1809378	542	1403	23111	1.29	San Jose
17	Wayne County	Michigan	1,585.28	612.08	1820584	1148	2974	1815246	1145	2966	1802096	1137	2944	-13150	-0.72	Detroit
18	Broward County	Florida	3,133.33	1,209.79	1748066	558	1445	1752122	559	1448	1780172	568	1471	28050	1.60	Fort Lauderdale
19	Bexar County	Texas	3,211.12	1,239.82	1714773	534	1383	1723561	537	1390	1756153	547	1416	32592	1.89	San Antonio
20	New York County	New York	59.13	22.83	1585873	26820	69464	1587481	26847	69534	1601948	27092	70168	14467	0.91	New York
21	Philadelphia County	Pennsylvania	347.32	134.10	1526006	4394	11380	1528074	4400	11395	1536471	4424	11458	8397	0.55	Philadelphia
22	Alameda County	California	1,914.05	739.02	1510271	789	2044	1513043	790	2047	1529875	799	2070	16832	1.11	Oakland
23	Middlesex County	Massachusetts	2,118.14	817.82	1503085	710	1838	1505720	711	1841	1518171	717	1856	12451	0.83	Cambridge
