Call sign	Frequency MHz	City of license	ERP W	Class	FCC info
K257CH	99.3	Estherville, Iowa	80(@ 53 meters)	D	FCC
K220HY	91.9	Spencer, Iowa	250(@ 51 metres)	D	FCC
K210CG	89.9	Spirit Lake, Iowa	250(@ 69 metres)	D	FCC
W215BR	90.9	Ironwood, Michigan	10(@ 120 metres)	D	FCC
K208EQ	89.5	Alexandria, Minnesota	230(@ 52 metres)	D	FCC
K212FH	90.3	Balaton, Minnesota	62(@ 135 metres)	D	FCC
K218DK	91.5	Bloomington, Minnesota	216(@ 49 metres)	D	FCC
K216FS	91.1	Brainerd, Minnesota	140(@ 139 metres)	D	FCC
K201HD	88.1	Clara City, Minnesota	250(@ 41 metres)	D	FCC
K293BA	106.5	Elko, Minnesota	196 (@ 83 metres)	D	FCC
K215ES	90.9	Fairmont, Minnesota	250(@ 39 metres)	D	FCC
K204DS	88.7	Glencoe, Minnesota	115(@ 41 metres)	D	FCC
K220BI	91.9	Grand Marais, Minnesota	34(@ 115 metres)	D	FCC
K215DU	90.9	Hutchinson, Minnesota	230(@ 51 metres)	D	FCC
K277AT	103.3	Litchfield, Minnesota	13(@ 11 meters)	D	FCC
K263AL	100.5	Madison, Minnesota	250(@ 69 metres)	D	FCC
W291AQ	106.1	Moose Lake, Minnesota	55(@ 42 metres)	D	FCC
K270DZ	101.9	New Ulm, Minnesota	250(@ 57 metres)	D	FCC
K204FA	88.7	Nicollet, Minnesota	250(@ 61 metres)	D	FCC
W220DO	91.9	North Branch, Minnesota	38(@ 64 metres)	D	FCC
