N°	Television service	Country	Language	Content	DAR	HDTV	Package/Option
872	Tivu Tivu	Italy	Italian	televendita	4:3	no	no ( FTA )
873	Hercules	Italy	Italian	televendita	4:3	no	no ( FTA )
874	Subacquea TV	Italy	Italian	televendita	4:3	no	no ( FTA )
875	Made in Italy	Italy	Italian	televendita	4:3	no	no ( FTA )
876	Las Televenta	Italy	Italian	televendita	4:3	no	no ( FTA )
877	New Generation TV	Italy	Italian	televendita	4:3	no	no ( FTA )
878	La 8	Italy	Italian	televendite	4:3	no	no ( FTA )
879	Viva l'Italia Channel	Italy	Italian	general television	4:3	no	no ( FTA )
880	Tiziana Sat	Italy	Italian	cartomanzia	4:3	no	no ( FTA )
881	Studio Europa	Italy	Italian	cartomanzia	4:3	no	no ( FTA )
882	In Tv	Italy	Italian	televendita	4:3	no	no ( FTA )
883	Pianeta TV	Italy	Italian	general television	4:3	no	no ( FTA )
884	MyTivi	Italy	Italian	televendita	4:3	no	no ( FTA )
885	ContoTV	Italy	Italian	promo	4:3	no	no ( FTA )
886	Betting Channel	Italy	Italian	scommesse	4:3	no	no ( FTA )
887	Roma Sat	Italy	Italian	tv locale	4:3	no	no ( FTA )
888	Lunasat	Italy	Italian	televendita	4:3	no	no ( FTA )
889	Dance TV	Italy	Italian	televendita	4:3	no	no ( FTA )
890	Arte Oggi TV	Italy	Italian	televendita	4:3	no	no ( FTA )
891	Free Channel	Italy	Italian	tv locale	4:3	no	no ( FTA )
892	Music Life	Italy	Italian	music	4:3	no	no ( FTA )
893	M.Sat	Italy	Italian	televendita	4:3	no	no ( FTA )
894	Moonlightv	Italy	Italian	televendita	4:3	no	no ( FTA )
895	Taxi Channel	Italy	Italian	general television	4:3	no	no ( FTA )
896	Telemodena	Italy	Italian	tv locale	4:3	no	no ( FTA )
897	Starsat	Italy	Italian	tv locale	4:3	no	no ( FTA )
898	Video Sat	Italy	Italian	tv locale	4:3	no	no ( FTA )
899	Ciao	Italy	Italian	cartomanzia	4:3	no	no ( FTA )
901	Tele A	Italy	Italian	cartomanzia	4:3	no	no ( FTA )
902	Reality TV	Italy	Italian	televendita	4:3	no	no ( FTA )
903	Cassiopea	Italy	Italian	cartomanzia	4:3	no	no ( FTA )
904	3 Channel	Italy	Italian	intrattenimento	4:3	no	no ( FTA )
905	Shop Window TV	Italy	Italian	televendita	4:3	no	no ( FTA )
906	Tivu Tivu 2	Italy	Italian	televendita	4:3	no	no ( FTA )
907	La 9	Italy	Italian	televendita	4:3	no	no ( FTA )
908	ECQC	Italy	Italian	televendita	4:3	no	no ( FTA )
909	New Television	Italy	Italian	televendita	4:3	no	no ( FTA )
910	Mondo Shop	Italy	Italian	telvendita	4:3	no	no ( FTA )
911	Spy Tv	Italy	Italian	erotica	4:3	no	no ( FTA )
912	Italia Channel	Italy	Italian	televendita, cartomanzia, lotto	4:3	no	no ( FTA )
913	Canale Italia	Italy	Italian	general television	4:3	no	no ( FTA )
