Year	Starts	Wins	Top 5	Top 10	Poles	Avg. Start	Avg. Finish	Winnings	Position	Team(s)
2000	2	0	0	0	0	20.5	35.0	$26,740	91st	Brewco Motorsports
2001	33	0	0	3	0	19.9	21.0	$667,196	16th	Brewco Motorsports
2002	34	2	6	14	1	16.3	15.0	$1,044,282	6th	Brewco Motorsports
2003	19	2	6	10	0	16.2	12.9	$586,293	20th	Phoenix Racing Braun Racing
2005	16	0	2	5	0	18.8	22.0	$323,736	36th	Rusty Wallace, Inc. Chip Ganassi Racing
2006	20	0	4	8	0	15.8	17.4	$522,060	25th	Rusty Wallace, Inc.
2007	22	0	1	5	0	15.7	19.4	$465,265	24th	Brewco Motorsports Roush Fenway Racing
2008	11	0	2	6	2	7.7	15.5	$265,515	40th	Roush Fenway Racing
2010	8	1	4	6	0	14.5	6.2	$246,139	38th	JR Motorsports
2011	6	0	0	1	0	11.2	21.0	$100,642	110th 1	Phoenix Racing JR Motorsports
