Outcome	Date	Championship	Surface	Opponent in the final	Score in the final
Runner-up	October 5, 1981	Maui , U.S.	Hard	Hank Pfister	4–6, 4–6
Runner-up	March 22, 1982	Strasbourg WCT , France	Carpet	Ivan Lendl	0–6, 5–7, 1–6
Runner-up	June 21, 1982	Bristol , England	Grass	John Alexander	3–6, 4–6
Runner-up	July 16, 1984	Newport , U.S.	Grass	Vijay Amritraj	6–3, 4–6, 4–6
Winner	February 18, 1985	Delray Beach , U.S.	Hard	Scott Davis	4–6, 4–6, 6–3, 6–2, 6–4
Runner-up	April 15, 1985	Dallas , U.S. – WCT Finals	Carpet	Ivan Lendl	6–7 (4–7) , 4–6, 1–6
Runner-up	February 3, 1986	Philadelphia , U.S.	Carpet	Ivan Lendl	w/o
Winner	June 16, 1986	London/Queen's Club , England	Grass	Jimmy Connors	6–4, 2–1, ret.
Winner	February 9, 1987	Philadelphia , U.S.	Carpet	John McEnroe	3–6, 6–1, 6–3, 6–1
Winner	April 6, 1987	Chicago , U.S.	Carpet	David Pate	6–4, 6–2
Winner	October 19, 1987	Toulouse , France	Hard (i)	Ricki Osterthun	6–2, 5–7, 6–4
Winner	November 9, 1987	Paris Indoor , France	Carpet	Brad Gilbert	2–6, 6–3, 7–5, 6–7 (5–7) , 6–3
Winner	November 16, 1987	Frankfurt , Germany	Carpet	Andrés Gómez	7–6 (8–6) , 6–4
Winner	February 29, 1988	Philadelphia , U.S.	Carpet	John Fitzgerald	4–6, 6–2, 6–2, 6–3
Winner	July 25, 1988	Schenectady , U.S.	Hard	Johan Kriek	5–7, 6–3, 6–2
Runner-up	September 26, 1988	Seoul Olympics , South Korea	Hard	Miloslav Mečíř	6–3, 2–6, 4–6, 2–6
Winner	October 10, 1988	Brisbane , Australia	Hard (i)	Marty Davis	6–4, 6–4
Winner	October 24, 1988	Frankfurt , Germany	Carpet	Leonardo Lavalle	4–6, 6–4, 6–3
Runner-up	February 29, 1989	Philadelphia , U.S.	Carpet	Boris Becker	6–7 (4–7) , 1–6, 3–6
Winner	July 31, 1989	Washington D.C. , U.S.	Hard	Brad Gilbert	3–6, 6–4, 7–5
Runner-up	February 12, 1990	Milan , Italy	Carpet	Ivan Lendl	3–6, 2–6
Runner-up	February 19, 1990	Toronto Indoor , Canada	Carpet	Ivan Lendl	3–6, 0–6
Runner-up	November 12, 1990	Moscow , Russia	Carpet	Andrei Cherkasov	2–6, 1–6
