Office	Republican ticket	Democratic ticket	Socialist ticket	Prohibition ticket	Progressive ticket	Independence League ticket
Governor	Charles S. Whitman	Samuel Seabury	Algernon Lee	Charles E. Welch	Charles S. Whitman	Charles S. Whitman
Lieutenant Governor	Edward Schoeneck	Thomas J. Kreuzer	Stephen J. Mahoney	Clarence Z. Spriggs	L. Bradley Dorr	Edward Schoeneck
Secretary of State	Francis M. Hugo	Frank M. Stage	Pauline M. Newman	Neil D. Cranmer	Francis M. Hugo	Francis M. Hugo
Comptroller	Eugene M. Travis	Joseph W. Masters	Charles W. Noonan	George A. Norton	Eugene M. Travis	Joseph W. Masters
Attorney General	Egburt E. Woodbury	William W. Farley	S. John Block	Claude W. Stowell	Robert H. Elder	William A. DeFord
Treasurer	James L. Wells	Maurice S. Cohen	Eugene Wood	William J. Richardson	Frank P. Tucker	James L. Wells
State Engineer	Frank M. Williams	Henry R. Beebe	George H. Warner	William B. Timbrell	Frank M. Williams	Frank M. Williams
Chief Judge	Frank H. Hiscock	Almet F. Jenks	Louis B. Boudin	Erwin J. Baldwin	Frank H. Hiscock	Almet F. Jenks
Judge of the Court of Appeals	Cuthbert W. Pound	John T. Norton	Hezekiah D. Wilcox	Coleridge A. Hart	Cuthbert W. Pound	John T. Norton
U.S. Senator	William M. Calder	William F. McCombs	Joseph D. Cannon	D. Leigh Colvin	Bainbridge Colby	Bainbridge Colby
