Date	Visitor	Score	Home	Leading scorer	Record
1 November 2002	Cavaliers	74–78	Suns	Ricky Davis (21)	1–2
5 November 2002	Lakers	70–89	Cavaliers	Ricky Davis (24)	2–2
6 November 2002	Cavaliers	100–107	Wizards	Ricky Davis (27)	2–3
8 November 2002	Cavaliers	84–108	Sixers	Ricky Davis (31)	2–4
9 November 2002	Wizards	93–79	Cavaliers	Two-way tie (19)	2–5
12 November 2002	Cavaliers	75–95	Pacers	Darius Miles (19)	2–6
13 November 2002	Mavericks	103–99	Cavaliers	Zydrunas Ilgauskas (34)	2–7
16 November 2002	Spurs	90–77	Cavaliers	Ricky Davis (22)	2–8
18 November 2002	Cavaliers	78–104	Spurs	Zydrunas Ilgauskas (25)	2–9
19 November 2002	Cavaliers	80–97	Rockets	Zydrunas Ilgauskas (24)	2–10
22 November 2002	Cavaliers	79–120	Nets	Smush Parker (18)	2–11
23 November 2002	Hornets	97–84	Cavaliers	Ricky Davis (24)	2–12
26 November 2002	Kings	91–85	Cavaliers	Ricky Davis (22)	2–13
27 November 2002	Cavaliers	80–112	Bucks	Ricky Davis (23)	2–14
29 November 2002	Sixers	106–99	Cavaliers	Dajuan Wagner (29)	2–15
30 November 2002	Cavaliers	79–85	Heat	Dajuan Wagner (28)	2–16
