Year (Ceremony)	Film title used in nomination	Original title	Director(s)	Result
1961 (34th)	Jedermann	Jedermann	Gottfried Reinhardt Category:Articles with hCards	Not Nominated
1969 (42nd)	Moss on the Stones	Moos auf den Steinen	Georg Lhotsky Category:Articles with hCards	Not Nominated
1977 (50th)	I Want to Live	Ich will leben	Jörg A. Eggers Category:Articles with hCards	Not Nominated
1979 (52nd)	Tales from the Vienna Woods	Geschichten aus dem Wienerwald	Maximilian Schell Category:Articles with hCards	Not Nominated
1980 (53rd)	Egon Schiele	Egon Schiele - Exzesse	Herbert Vesely Category:Articles with hCards	Not Nominated
1981 (54th)	Der Bockerer	Der Bockerer	Franz Antel Category:Articles with hCards	Not Nominated
1983 (56th)	Tramps	Die Letzte Runde	Peter Patzak Category:Articles with hCards	Not Nominated
1984 (57th)	Just Behind the Door	Dicht hinter der Tür	Mansur Madavi Category:Articles with hCards	Not Nominated
1985 (58th)	Malambo	Malambo	Milan Dor Category:Articles with hCards	Not Nominated
1986 (59th)	'38 - Vienna Before the Fall	38 – Auch das war Wien	Wolfgang Glück Category:Articles with hCards	Nominee
1987 (60th)	Welcome in Vienna	Wohin und zurück - Welcome in Vienna	Axel Corti Category:Articles with hCards	Not Nominated
1988 (61st)	Undiscovered Country	Das Weite Land	Luc Bondy Category:Articles with hCards	Not Nominated
1989 (62nd)	The Seventh Continent	Der Siebente Kontinent	Michael Haneke Category:Articles with hCards	Not Nominated
1990 (63rd)	Requiem for Dominic	Requiem für Dominik	Robert Dornhelm Category:Articles with hCards	Not Nominated
1991 (64th)	I Love Vienna	I Love Vienna	Houchang Allahyari Category:Articles with hCards	Not Nominated
1992 (65th)	Benny's Video	Benny's Video	Michael Haneke Category:Articles with hCards	Not Nominated
1993 (66th)	India	Indien	Paul Harather Category:Articles with hCards	Not Nominated
1994 (67th)	I Promise	Ich Gelobe	Wolfgang Murnberger Category:Articles with hCards	Not Nominated
1995 (68th)	Ant Street	Die Ameisenstraße	Michael Glawogger Category:Articles with hCards	Not Nominated
1997 (70th)	The Unfish	Der Unfisch	Robert Dornhelm Category:Articles with hCards	Not Nominated
1998 (71st)	The Inheritors	Die Siebtelbauern	Stefan Ruzowitzky Category:Articles with hCards	Not Nominated
1999 (72nd)	Northern Skirts	Nordrand	Barbara Albert Category:Articles with hCards	Not Nominated
2000 (73rd)	The Stranger	Die Fremde	Götz Spielmann Category:Articles with hCards	Not Nominated
2001 (74th)	The Piano Teacher	La Pianiste	Michael Haneke Category:Articles with hCards	Not Nominated
2003 (76th)	Free Radicals	Böse Zellen	Barbara Albert Category:Articles with hCards	Not Nominated
2004 (77th)	Antares	Antares	Götz Spielmann Category:Articles with hCards	Not Nominated
2005 (78th)	Caché	Caché	Michael Haneke Category:Articles with hCards	Disqualified
2006 (79th)	You Bet Your Life	Spiele Leben	Antonin Svoboda Category:Articles with hCards	Not Nominated
2007 (80th)	The Counterfeiters	Die Fälscher	Stefan Ruzowitzky Category:Articles with hCards	Won Academy Award
2008 (81st)	Revanche	Revanche	Götz Spielmann Category:Articles with hCards	Nominee
2009 (82nd)	For a Moment, Freedom	Ein Augenblick Freiheit	Arash T. Riahi Category:Articles with hCards	Not Nominated
2011 (84th)	Breathing	Atmen	Karl Markovics Category:Articles with hCards	Not Nominated
2012 (85th)	Amour	Amour	Michael Haneke Category:Articles with hCards	Won Academy Award
