Position	Club	Played	Points	Wins	Draws	Losses	Goals for	Goals against	Goal Difference
1	UD Las Palmas	30	40	17	6	7	45	25	+20
2	Hércules CF	30	38	15	8	7	48	38	+10
3	RCD Mallorca	30	37	16	5	9	52	32	+20
4	CD Mestalla	30	33	13	7	10	60	38	+22
5	CD Tenerife	30	32	14	4	12	30	40	-10
6	Granada CF	30	32	12	8	10	41	32	+9
7	Cádiz CF	30	30	13	4	13	45	41	+4
8	Algeciras CF	30	30	13	4	13	40	53	-13
9	CD Málaga	30	30	12	6	12	38	33	+5
10	Onteniente CF	30	29	10	9	11	33	29	+4
11	Recreativo de Huelva	30	29	10	9	11	41	34	+7
12	Melilla CF	30	28	10	8	12	34	38	-4
13	CD Abarán	30	26	10	6	14	38	49	-11
14	Atlético Ceuta	30	26	10	6	14	29	49	-20
15	CD San Fernando	30	21	9	3	18	24	45	-21
16	CD Eldense	30	19	7	5	18	33	55	-22
