Game	December	Opponent	Score	Record	Points
24	1	Winnipeg Jets	2–1	13–10–1	27
25	3	Calgary Flames	6–1	14–10–1	29
26	5	@ Detroit Red Wings	5–2	15–10–1	31
27	6	St. Louis Blues	8–2	16–10–1	33
28	9	@ Pittsburgh Penguins	4–1	17–10–1	35
29	12	New York Rangers	3–5	17–11–1	35
30	16	@ New York Rangers	7–3	18–11–1	37
31	17	Buffalo Sabres	2–1	19–11–1	39
32	20	Pittsburgh Penguins	3–1	20–11–1	41
33	23	@ Chicago Black Hawks	7–6	21–11–1	43
34	26	@ New York Islanders	2–4	21–12–1	43
35	28	@ Calgary Flames	7–4	22–12–1	45
36	30	@ Edmonton Oilers	5–7	22–13–1	45
