Tie no	Home team	Score	Away team	Date
1	Chester City	1–2	Chesterfield	19 November 1983
2	Darlington	5–0	Mossley F.C.	19 November 1983
3	Bournemouth	4–0	Walsall	19 November 1983
4	Barking	2–1	Farnborough Town	19 November 1983
5	Barnet	0–0	Bristol Rovers	19 November 1983
Replay	Bristol Rovers	3–1	Barnet	22 November 1983
6	Burnley	2–0	Hyde United	19 November 1983
7	Poole Town	0–0	Newport County	20 November 1983
Replay	Newport County	3–1	Poole Town	22 November 1983
8	Rochdale	1–0	Crewe Alexandra	19 November 1983
9	Yeovil Town	0–1	Harrow Borough	19 November 1983
10	Reading	2–0	Hereford United	19 November 1983
11	Northwich Victoria	1–1	Bangor City	19 November 1983
Replay	Bangor City	1–0	Northwich Victoria	22 November 1983
12	Macclesfield Town	0–0	York City	19 November 1983
Replay	York City	2–0	Macclesfield Town	22 November 1983
13	Gainsborough Trinity	0–2	Blackpool	19 November 1983
14	Wrexham	1–5	Sheffield United	19 November 1983
15	Tranmere Rovers	2–2	Bolton Wanderers	19 November 1983
Replay	Bolton Wanderers	4–1	Tranmere Rovers	22 November 1983
16	Northampton Town	1–1	Waterlooville	19 November 1983
Replay	Waterlooville	1–1	Northampton Town	23 November 1983
Replay	Northampton Town	2–0	Waterlooville	28 November 1983
17	Bradford City	0–0	Wigan Athletic	19 November 1983
Replay	Wigan Athletic	4–2	Bradford City	28 November 1983
18	Millwall	2–1	Dartford	19 November 1983
19	Wimbledon	2–1	Orient	19 November 1983
20	Penrith	0–2	Hull City	19 November 1983
21	Southend United	0–0	Plymouth Argyle	19 November 1983
Replay	Plymouth Argyle	2–0	Southend United	22 November 1983
22	Exeter City	1–1	Maidstone United	19 November 1983
Replay	Maidstone United	2–1	Exeter City	23 November 1983
23	Scunthorpe United	1–0	Preston North End	19 November 1983
24	Mansfield Town	3–0	Doncaster Rovers	19 November 1983
25	Port Vale	1–2	Lincoln City	19 November 1983
26	Halifax Town	2–3	Whitby Town	19 November 1983
27	Wealdstone	1–1	Enfield	19 November 1983
Replay	Enfield	2–2	Wealdstone	22 November 1983
Replay	Wealdstone	2–0	Enfield	28 November 1983
28	Torquay United	1–2	Colchester United	19 November 1983
29	Kettering Town	0–7	Swindon Town	19 November 1983
30	Rotherham United	0–0	Hartlepool United	19 November 1983
Replay	Hartlepool United	0–1	Rotherham United	23 November 1983
31	Aldershot	1–1	Worcester City	19 November 1983
Replay	Worcester City	2–1	Aldershot	21 November 1983
32	Boston United	0–3	Bury	19 November 1983
33	Chelmsford City	0–0	Wycombe Wanderers	19 November 1983
Replay	Wycombe Wanderers	1–2	Chelmsford City	22 November 1983
34	Burton Albion	1–2	Windsor & Eton	19 November 1983
35	Dagenham	2–2	Brentford	19 November 1983
Replay	Brentford	2–1	Dagenham	22 November 1983
36	Oxford United	2–0	Peterborough United	19 November 1983
37	Corinthian Casuals	0–0	Bristol City	19 November 1983
Replay	Bristol City	4–0	Corinthian Casuals	23 November 1983
38	Telford United	3–0	Stockport County	19 November 1983
39	AP Leamington	0–1	Gillingham	19 November 1983
40	Frickley Athletic	0–1	Altrincham	19 November 1983
