Pick #	Player	Position	Nationality	NHL team	College/junior/club team
127	Tom Ryan	Defence	United States	Pittsburgh Penguins	Newton North High School (USHS-MA)
128	Ian Ferguson	Defence	United States	New Jersey Devils	Oshawa Generals (OHL)
129	Timothy Hanley	Centre	United States	Los Angeles Kings	Deerfield Academy (USHS-MA)
130	Joseph McInnis	Centre	United States	Toronto Maple Leafs	Watertown High School (USHS-MA)
131	Mike Vellucci	Defence	United States	Hartford Whalers	Belleville Bulls (OHL)
132	Mike Stapleton	Centre	Canada	Chicago Black Hawks	Cornwall Royals (OHL)
133	Stefan Larsson	Defence	Sweden	Detroit Red Wings	Frolunda (Sweden)
134	Cliff Ronning	Centre	Canada	St. Louis Blues	New Westminster Bruins (WHL)
135	Luciano Borsato	Centre	Canada	Winnipeg Jets	Bramalea Blues (MetJHL)
136	Blaine Chrest	Centre	Canada	Vancouver Canucks	Portland Winter Hawks (WHL)
137	Scott MacTavish	Defence	Canada	Montreal Canadiens	Fredericton High School (Canadian HS-NB)
138	Kevan Melrose	Defence	Canada	Calgary Flames	Red Deer Rustlers (AJHL)
139	Vladimir Kyhos	Left Wing	Czechoslovakia	Minnesota North Stars	CHZ Litvinov (Czechoslovakia)
140	Thomas Hussey	Left Wing	Canada	New York Rangers	St. Andrew's College (Canadian HS-ON)
141	Henrik Cedegren	Right Wing	Sweden	Quebec Nordiques	Brynäs IF Gävle (Sweden)
142	Tom Allen	Defence	Canada	Philadelphia Flyers	Kitchener Rangers (OHL)
143	Timo Iljima	Centre	Finland	Washington Capitals	Kärpät (Finland)
144	Darcy Wakaluk	Goaltender	Canada	Buffalo Sabres	Kelowna Wings (WHL)
145	Mark Thietke	Centre	Canada	Boston Bruins	Saskatoon Blades (WHL)
146	Kelly Murphy	Defence	Canada	New York Islanders	Notre Dame Hounds (SJHL)
147	Heikki Riihijarvi	Defence	Finland	Edmonton Oilers	Kiekko-Espoo (Finland)
