Place	Player	Country	Score	To par
1	Yuri Fudoh	Japan	66-68-69=203	−13
2	Jiyai Shin	South Korea	66-68-70=204	−12
3	Ai Miyazato	Japan	68-69-68=205	−11
T4	Juli Inkster	United States	65-70-71=206	−10
T4	Cristie Kerr	United States	71-65-70=206	−10
T6	Natalie Gulbis	United States	69-68-70=207	−9
T6	Eun-Hee Ji	South Korea	68-70-69=207	−9
T6	Mi Hyun Kim	South Korea	70-70-67=207	−9
T6	Yani Tseng	Taiwan	70-69-68=207	−9
T10	Na Yeon Choi	South Korea	69-71-68=207	−8
T10	Lorena Ochoa	Mexico	69-68-71=207	−8
T10	Momoko Ueda	Japan	66-72-70=207	−8
