Week	Date	Opponent	Result	Attendance
1	September 15, 1940	Brooklyn Dodgers	W 24-17	32,763
2	September 22, 1940	New York Giants	W 21-7	34,712
3	October 6, 1940	Pittsburgh Steelers	W 40-10	25,213
4	October 13, 1940	Chicago Cardinals	W 28-21	33,691
5	October 20, 1940	Philadelphia Eagles	W 34-17	26,083
6	October 27, 1940	at Detroit Lions	W 20-14	28,090
7	November 3, 1940	Pittsburgh Steelers	W 37-10	31,204
8	November 10, 1940	at Brooklyn Dodgers	L 16-14	33,846
9	November 17, 1940	Chicago Bears	W 7-3	35,231
10	November 24, 1940	at New York Giants	L 21-7	46,439
11	December 1, 1940	Philadelphia Eagles	W 13-6	25,838
