Week	Date	Opponent	Result	Attendance
1	September 2, 1966	at Miami Dolphins	W 23–14	26,776
2	September 10, 1966	at Houston Oilers	L 31–0	31,763
3	September 18, 1966	Kansas City Chiefs	L 32–10	50,746
4	September 25, 1966	San Diego Chargers	L 29–20	37,183
6	October 9, 1966	Miami Dolphins	W 21–10	30,787
7	October 16, 1966	at Kansas City Chiefs	W 34–13	33,057
8	October 23, 1966	at New York Jets	W 24–21	58,135
9	October 30, 1966	at Boston Patriots	L 24–21	26,941
10	November 6, 1966	Houston Oilers	W 38–23	34,102
11	November 13, 1966	San Diego Chargers	W 41–19	26,230
12	November 20, 1966	at Denver Broncos	W 17–3	26,703
13	November 24, 1966	Buffalo Bills	L 31–10	36,781
14	December 3, 1966	New York Jets	T 28–28	32,144
15	December 11, 1966	at Denver Broncos	W 28–10	31,765
