Game	March	Opponent	Score	Record	Points
64	2	@ Toronto Maple Leafs	2–2	41–15–8	90
65	3	@ New Jersey Devils	4–1	42–15–8	92
66	5	@ Washington Capitals	3–4	42–16–8	92
67	6	@ Pittsburgh Penguins	5–3	43–16–8	94
68	8	Chicago Black Hawks	1–4	43–17–8	94
69	10	Minnesota North Stars	6–3	44–17–8	96
70	12	@ Boston Bruins	2–5	44–18–8	96
71	14	@ New York Rangers	2–8	44–19–8	96
72	17	Montreal Canadiens	6–4	45–19–8	98
73	19	@ New York Islanders	2–9	45–20–8	98
74	20	Washington Capitals	2–3	45–21–8	98
75	24	Toronto Maple Leafs	7–4	46–21–8	100
76	25	@ New Jersey Devils	5–6	46–22–8	100
77	27	New Jersey Devils	4–1	47–22–8	102
78	31	New York Rangers	2–4	47–23–8	102
