Season	Tier	Division	Pos.	Postseason	Cup Competitions
1996–97	4	1ª División	1	Promoted	–
1997–98	3	Liga EBA	8	Relegation playoffs	–
1998–99	3	Liga EBA	2	Champion	–
1999–00	3	Liga EBA	1	Promoted Runner-up	Copa EBA semifinalist
2000–01	3	LEB 2	4	Semifinalist	Copa LEB 2 semifinalist
2001–02	3	LEB 2	4	Semifinalist	–
2002–03	3	LEB 2	5	Quarterfinalist	–
2003–04	2	LEB	7	Quarterfinalist	Copa Príncipe semifinalist
2004–05	2	LEB	16	Relegation playoffs	–
2005–06	2	LEB	10	–	–
2006–07	2	LEB	11	–	–
2007–08	2	LEB Oro	17	Relegated	–
2008–09	2	LEB Oro	14	–	–
2009–10	2	LEB Oro	10	–	–
2010–11	2	LEB Oro	10	–	–
2011–12	2	LEB Oro	9	Quarterfinalist	–
