Round	Pick	Player	Position	Nationality	Team	College
4	–	Herm Hedderick Category:Articles with hCards	G	United States	Boston Celtics	Canisius
6	56	James Luisi Category:Articles with hCards	G	United States	Boston Celtics	St. Francis (NY)
10	–	Gene Conley Category:Articles with hCards	F/C	United States	Boston Celtics	Washington State
–	–	Jim Brasco Category:Articles with hCards	G	United States	Syracuse Nationals	NYU
–	–	Tom Brennan Category:Articles with hCards	F	United States	Philadelphia Warriors	Villanova
–	–	Dick Bunt Category:Articles with hCards	G	United States	New York Knicks	NYU
–	–	Bert Cook Category:Articles with hCards	G/F	United States	New York Knicks	Utah State
–	–	Blaine Denning Category:Articles with hCards	G	United States	Baltimore Bullets	Lawrence Tech
–	–	Chuck Grigsby Category:Articles with hCards	G	United States	Baltimore Bullets	Dayton
–	–	Jim Holstein Category:Articles with hCards	G/F	United States	Minneapolis Lakers	Cincinnati
–	–	Ronnie MacGilvray Category:Articles with hCards	G	United States	Rochester Royals	St. John's
–	–	Ken McBride Category:Articles with hCards	G/F	United States	Syracuse Nationals	Maryland State
–	–	George McLeod Category:Articles with hCards	F	United States	Milwaukee Hawks	TCU
–	–	Jack McMahon Category:Articles with hCards	G	United States	Rochester Royals	St. John's
–	–	Carl McNulty Category:Articles with hCards	G	United States	Minneapolis Lakers	Purdue
–	–	Bob Peterson Category:Articles with hCards	F	United States	Baltimore Bullets	Oregon
–	–	Bob Priddy Category:Articles with hCards	F	United States	Baltimore Bullets	New Mexico A&M
–	–	Moe Radovich Category:Articles with hCards	G	United States	Philadelphia Warriors	Wyoming
–	–	Gene Rhodes Category:Articles with hCards	G	United States	Indianapolis Olympians	Western Kentucky
–	–	Dick Surhoff Category:Articles with hCards	F	United States	New York Knicks	Long Island
–	–	Jim Walsh Category:Articles with hCards	F	United States	Baltimore Bullets	Stanford
–	–	Bobby Watson Category:Articles with hCards	G	United States	Milwaukee Hawks	Kentucky
–	–	Skippy Whitaker Category:Articles with hCards	G	United States	Indianapolis Olympians	Kentucky
