Week	Date	Opponent	Result	Attendance
1	September 25, 1960	at Baltimore Colts	L 20-0	53,818
2	Bye	Bye	Bye	Bye
3	October 9, 1960	Dallas Cowboys	W 26-14	21,142
4	October 16, 1960	at New York Giants	T 24-24	60,625
5	October 23, 1960	Pittsburgh Steelers	T 27-27	25,292
6	October 30, 1960	Cleveland Browns	L 31-10	32,086
7	November 6, 1960	at St. Louis Cardinals	L 44-6	22,458
8	November 13, 1960	at Philadelphia Eagles	L 19-13	39,361
9	November 20, 1960	St. Louis Cardinals	L 26-14	23,848
10	November 27, 1960	at Pittsburgh Steelers	L 22-10	22,334
11	December 4, 1960	at Cleveland Browns	L 27-16	35,211
12	December 11, 1960	New York Giants	L 17-3	14,077
13	December 18, 1960	Philadelphia Eagles	L 38-28	20,558
