Week	Date	Opponent	Result	Venue	Attendance
1	September 20, 1970	Kansas City Chiefs	W 27-10	Metropolitan Stadium	47,900
2	September 27, 1970	New Orleans Saints	W 26-0	Metropolitan Stadium	47,900
3	October 4, 1970	at Green Bay Packers	L 13-10	Milwaukee County Stadium	47,967
4	October 11, 1970	at Chicago Bears	W 24-0	Wrigley Field	45,485
5	October 18, 1970	Dallas Cowboys	W 54-13	Metropolitan Stadium	47,900
6	October 26, 1970	Los Angeles Rams	W 13-3	Metropolitan Stadium	47,900
7	November 1, 1970	at Detroit Lions	W 30-17	Tiger Stadium	58,210
8	November 8, 1970	at Washington Redskins	W 19-10	RFK Stadium	50,415
9	November 15, 1970	Detroit Lions	W 24-20	Metropolitan Stadium	47,900
10	November 22, 1970	Green Bay Packers	W 10-3	Metropolitan Stadium	47,900
11	November 29, 1970	at New York Jets	L 20-10	Shea Stadium	62,333
12	December 5, 1970	Chicago Bears	W 16-13	Metropolitan Stadium	47,900
13	December 13, 1970	at Boston Patriots	W 35-14	Harvard Stadium	37,819
14	December 20, 1970	at Atlanta Falcons	W 37-7	Atlanta Stadium	57,992
