Date	Opponent	Score	Loss	Record
June 1	@ Red Sox	7–5	Turley (3–3)	23–18
June 2	@ White Sox	6–2	McLish (2–6)	24–18
June 3	@ White Sox	6 – 5 (13)	Ditmar (2–3)	24–19
June 4	@ White Sox	10–1	Pierce (1–5)	25–19
June 5	Twins	6–2	Lee (0–2)	26–19
June 5	Twins	6–1	Stobbs (0–2)	27–19
June 6	Twins	7–2	Kralick (4–4)	28–19
June 7	Twins	5–1	Ramos (3–7)	29–19
June 8	Athletics	6–1	Bass (4–3)	30–19
June 8	Athletics	9–6	McDevitt (1–2)	30–20
June 9	Athletics	8–6	Herbert (3–6)	31–20
June 10	Athletics	5–3	Nuxhall (4–2)	32–20
June 11	Angels	2–1	McBride (5–4)	33–20
June 11	Angels	5–1	Grba (5–5)	34–20
June 12	Angels	3–1	Bowsfield (2–2)	35–20
June 13	@ Indians	7–2	Coates (6–3)	35–21
June 14	@ Indians	11–5	Bell (4–6)	36–21
June 15	@ Indians	3 – 2 (11)	Funk (7–5)	37–21
June 16	@ Tigers	4–2	Stafford (4–3)	37–22
June 17	@ Tigers	12–10	Daley (4–9)	37–23
June 18	@ Tigers	9–0	Lary (10–4)	38–23
June 19	@ Athletics	4–3	Arroyo (2–3)	38–24
June 20	@ Athletics	6–2	Nuxhall (4–3)	39–24
June 21	@ Athletics	5–3	Shaw (3–6)	40–24
June 22	@ Athletics	8–3	Bass (4–6)	41–24
June 23	@ Twins	4–0	Turley (3–4)	41–25
June 24	@ Twins	10–7	Cueto (0–2)	42–25
June 25	@ Twins	8–4	Kralick (6–5)	43–25
June 26	@ Angels	8–6	Donohue (1–2)	44–25
June 27	@ Angels	7–6	Daley (5–10)	44–26
June 28	@ Angels	5–3	Turley (3–5)	44–27
June 30	@ Senators	5–1	Donovan (3–8)	45–27
