Date	Time	ACC Team	Big Ten Team	Location	Television	Attendance	Winner	Challenge Leader
Mon., Nov. 29	7:00PM	Virginia	#13 Minnesota	Williams Arena • Minneapolis, MN	ESPN2	12089	Virginia (87-79)	ACC (1-0)
Tue., Nov. 30	7:00PM	Wake Forest	Iowa	LJVM Coliseum • Winston-Salem, NC	ESPNU	9086	Wake Forest (76-73)	ACC (2-0)
Tue., Nov. 30	7:00PM	Georgia Tech	Northwestern	Welsh-Ryan Arena • Evanston, IL	ESPN2	4455	Northwestern (91-71)	ACC (2-1)
Tue., Nov. 30	7:30PM	Florida State	#2 Ohio State	Donald L. Tucker Center • Tallahassee, FL	ESPN	10457	Ohio State (58-44)	Tied (2-2)
Tue., Nov. 30	9:00PM	Clemson	Michigan	Littlejohn Coliseum • Clemson, SC	ESPN2	7237	Michigan (69-61)	Big Ten (3-2)
Tue., Nov. 30	9:30PM	North Carolina	#21 Illinois	Assembly Hall • Champaign, IL	ESPN	16618	Illinois (79-67)	Big Ten (4-2)
Wed., Dec. 1	7:15PM	Boston College	Indiana	Conte Forum • Chestnut Hill, MA	ESPNU	5329	Boston College (88-76)	Big Ten (4-3)
Wed., Dec. 1	7:15PM	NC State	Wisconsin	Kohl Center • Madison, WI	ESPN2	17230	Wisconsin (87-48)	Big Ten (5-3)
Wed., Dec. 1	7:30PM	Virginia Tech	#18 Purdue	Cassell Coliseum • Blacksburg, VA	ESPN	9847	Purdue (58-55 OT)	Big Ten (6-3)
Wed., Dec. 1	9:15PM	Maryland	Penn State	Bryce Jordan Center • University Park, PA	ESPN2	9078	Maryland (62-39)	Big Ten (6-4)
