Episode	Original Air Date	Viewers (millions)	Presenter	Location
1st Pride of Britain Awards	May 1999	N/A	Carol Vorderman	Dorchester Hotel
2nd Pride of Britain Awards	Wednesday 12 April 2000	9.44	Carol Vorderman	The London Studios
3rd Pride of Britain Awards	Wednesday 11 April 2001	8.26	Carol Vorderman	The London Studios
4th Pride of Britain Awards	Wednesday 6 March 2002	6.06	Carol Vorderman	The London Studios
5th Pride of Britain Awards	Tuesday 4 March 2003	5.63	Carol Vorderman	The London Studios
6th Pride of Britain Awards	Tuesday 16 March 2004	5.52	Carol Vorderman	The London Studios
7th Pride of Britain Awards	Tuesday 11 October 2005	5.84	Carol Vorderman	The London Studios
8th Pride of Britain Awards	Tuesday 7 November 2006	5.79	Carol Vorderman	The London Studios
9th Pride of Britain Awards	Wednesday 10 October 2007	6.97	Carol Vorderman	The London Studios
10th Pride of Britain Awards	Wednesday 1 October 2008	5.87	Carol Vorderman	The London Studios
11th Pride of Britain Awards	Wednesday 7 October 2009	6.35	Carol Vorderman	The London Studios
12th Pride of Britain Awards	Wednesday 10 November 2010	6.64	Carol Vorderman	The London Studios
13th Pride of Britain Awards	Wednesday 5 October 2011	5.82	Carol Vorderman	Grosvenor House
14th Pride of Britain Awards	Tuesday 30 October 2012	4.59	Carol Vorderman	Grosvenor House
