Skip (Club)	W	L	PF	PA	Ends Won	Ends Lost	Blank Ends	Stolen Ends
Cheryl Bernard (Calgary Curling Club)	4	1	36	21	21	19	6	8
Dana Ferguson (Saville Sports Centre)	4	2	44	35	26	24	5	6
Heather Nedohin (Saville Sports Centre)	4	2	42	30	26	21	7	4
Shannon Kleibrink (Calgary Winter Club)	3	0	25	11	14	7	3	5
Renee Sonnenberg (Saville Sports Centre)	2	3	25	26	16	23	3	4
Desiree Owen (Saville Sports Centre)	2	3	29	37	19	22	5	5
Crystal Webster (Calgary Winter Club)	3	3	31	35	23	21	6	5
Jessie Kaufman (Saville Sports Centre)	2	3	32	31	16	21	3	3
Casey Scheidegger (Lethbridge Curling Club)	2	3	23	27	17	15	5	5
Valerie Sweeting (Saville Sports Centre)	1	3	24	26	16	14	4	6
Tanilla Doyle (Highwood Curling Club)	1	3	18	34	16	15	1	3
