Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
3	November 1	@ Chicago	L 86–96 (OT)	Rudy Gay (20)	Darko Miličić (9)	Kyle Lowry (4)	United Center 21,785	1–2
4	November 3	Golden State	W 90–79 (OT)	Marc Gasol (27)	Marc Gasol (16)	Mike Conley, Jr. (7)	FedExForum 10,121	2–2
5	November 5	@ Sacramento	L 95–100 (OT)	O. J. Mayo (28)	Rudy Gay , Kyle Lowry , Marc Gasol (6)	Kyle Lowry (7)	ARCO Arena 13,685	2–3
6	November 7	@ Golden State	W 109–104 (OT)	Rudy Gay (23)	Darrell Arthur (12)	Mike Conley, Jr. (6)	Oracle Arena 18,744	3–3
7	November 9	@ Denver	L 90–100 (OT)	O. J. Mayo (31)	Marc Gasol , O. J. Mayo (8)	Mike Conley, Jr. , Rudy Gay (4)	Pepsi Center 14,359	3–4
8	November 10	@ Phoenix	L 102–107 (OT)	O. J. Mayo (33)	Rudy Gay , Darrell Arthur (7)	O. J. Mayo (5)	US Airways Center 18,422	3–5
9	November 12	New York	L 103–132 (OT)	Rudy Gay (20)	Hakim Warrick (8)	Marko Jarić , Kyle Lowry (4)	FedExForum 10,129	3–6
10	November 14	Milwaukee	L 96–101 (OT)	O. J. Mayo (25)	Hakim Warrick (10)	Mike Conley, Jr. , Kyle Lowry (4)	FedExForum 11,308	3–7
11	November 18	Sacramento	W 109–94 (OT)	Rudy Gay (22)	Hakim Warrick (10)	Mike Conley, Jr. (7)	FedExForum 10,834	4–7
12	November 21	@ Dallas	L 76–91 (OT)	O. J. Mayo (19)	Rudy Gay , Marc Gasol (8)	Rudy Gay (5)	American Airlines Center 20,035	4–8
13	November 22	Utah	L 94–103 (OT)	O. J. Mayo (23)	Darrell Arthur (9)	Mike Conley, Jr. (8)	FedExForum 13,121	4–9
14	November 24	San Antonio	L 81–94 (OT)	O. J. Mayo (26)	Darko Miličić (11)	O. J. Mayo , Kyle Lowry (3)	FedExForum 12,053	4–10
15	November 26	@ Utah	L 100–117 (OT)	Rudy Gay (27)	Marc Gasol (8)	Kyle Lowry (5)	EnergySolutions Arena 19,911	4–11
16	November 28	@ San Antonio	L 98–109 (OT)	O. J. Mayo (32)	Rudy Gay , Marc Gasol , Darko Miličić (6)	O. J. Mayo , Mike Conley, Jr. (4)	AT&T Center 17,074	4–12
