Year	Song	Artist	Genre	Band Tour Venue	Exportable?
1994	" About a Girl " (Unplugged Live)	Nirvana	Grunge	10. House of Blues (Los Angeles)	Yes
2007	"Aggro"	The Enemy	Punk	11. Ted's Tiki Hut (Tahiti)	No
1970	" American Woman "	The Guess Who	Classic Rock	8. Rock Brigade (The Pacific)	No
1980	" Antisocial "	Trust	Hard Rock	17. Times Square (New York City)	No
1993	" Are You Gonna Go My Way "	Lenny Kravitz	Rock	9. Strutter's Farm (Kentucky)	Yes
2006	" Assassin "	Muse	Alternative	17. Times Square (New York City)	No
2005	" B.Y.O.B. "	System of a Down	Alternative Metal	17. Times Square (New York City) Encore	No
1973	" Band on the Run "	Wings	Classic Rock	4. Pang Tang Bay (Hong Kong) Encore	Yes
1982	" Beat It "	Michael Jackson	Pop Rock	9. Strutter's Farm (Kentucky)	No
1997	" Beautiful Disaster "	311	Surf Rock	3. Bone Church (Poland)	No
1980	" Crazy Train "	Ozzy Osbourne	Metal	16. Ozzfest (Germany) Encore	No
1997	" Dammit "	Blink-182	Pop Punk	8. Rock Brigade (The Pacific)	Yes
2005	" Demolition Man " (Live)	Sting	Rock	12. Will Heilm's Keep (England)	Yes
1972	" Do It Again "	Steely Dan	Classic Rock	7. Swamp Shack (Louisiana)	Yes
1984	"Escuela de Calor"	Radio Futura	Rock	12. Will Heilm's Keep (England)	No
1997	" Everlong "	Foo Fighters	Alternative	14.AT&T Park (San Francisco)	Yes
1982	" Eye of the Tiger "	Survivor	Rock	1. Phi Psi Kappa (USA) Encore	No
1994	" Feel the Pain "	Dinosaur Jr.	Alternative	3. Bone Church (Poland)	No
2004	" Float On "	Modest Mouse	Indie Rock	11. Ted's Tiki Hut (Tahiti) Encore	No
1998	" Freak on a Leash "	Korn	Nu Metal	2. Wilted Orchid (Sweden)	No
1977	" Go Your Own Way "	Fleetwood Mac	Classic Rock	9. Strutter's Farm (Kentucky) Encore	No
2007	" Good God "	Anouk	Rock	15. Tesla's Coil (Australia)	No
2008	"Hail to the Freaks"	Beatsteaks	Punk	13. Recording Studio (Canada)	No
1979	" Heartbreaker "	Pat Benatar	Hard Rock	9. Strutter's Farm (Kentucky)	Yes
1995	" Hey Man, Nice Shot "	Filter	Industrial	8. Rock Brigade (The Pacific)	No
1978	" Hollywood Nights "	Bob Seger & The Silver Bullet Band	Classic Rock	15. Tesla's Coil (Australia) Encore	Yes
1984	" Hot for Teacher "	Van Halen	Hard Rock	17. Times Square (New York City)	No
1976	" Hotel California "	Eagles	Classic Rock	7. Swamp Shack (Louisiana) Encore	No
1973	" The Joker "	Steve Miller Band	Classic Rock	4. Pang Tang Bay (Hong Kong)	Yes
2008	" Kick Out the Jams "	MC5's Wayne Kramer	Hard Rock	12. Will Heilm's Keep (England)	No
2005	" The Kill "	30 Seconds to Mars	Modern Rock	14. AT&T Park (San Francisco)	Yes
2005	" L'Via L'Viaquez "	The Mars Volta	Prog Rock	14. AT&T Park (San Francisco)	Yes
1987	" La Bamba "	Los Lobos	Rock	17. Times Square (New York City)	No
2006	" Lazy Eye "	Silversun Pickups	Indie Rock	13. Recording Studio (Canada)	Yes
1986	" Livin' on a Prayer "	Bon Jovi	Hard Rock	5. Amoeba Records (Los Angeles)	Yes
1967	" Love Me Two Times "	The Doors	Classic Rock	8. Rock Brigade (The Pacific)	No
1987	" Love Removal Machine "	The Cult	Hard Rock	2. Wilted Orchid (Sweden) Encore	No
1994	" Love Spreads "	The Stone Roses	Alternative	18. Sunna's Chariot (Asgard)	Yes
2001	" The Middle "	Jimmy Eat World	Pop Punk	2. Wilted Orchid (Sweden)	Yes
2007	" Misery Business "	Paramore	Modern Rock	5. Amoeba Records (Los Angeles)	No
2007	" Monsoon "	Tokio Hotel	Pop Rock	11. Ted's Tiki Hut (Tahiti)	No
1988	" Mountain Song "	Jane's Addiction	Alternative	2. Wilted Orchid (Sweden)	No
