Pos.	Class	Entrant	Drivers	Laps
1	V8	Shell FAI Racing	Dick Johnson John Bowe	161
2	V8	Winfield Racing	Mark Skaife Jim Richards	161
3	V8	Castrol Perkins Racing Team	Larry Perkins Gregg Hansford	161
4	V8	Benson & Hedges Racing	Tony Longhurst Charlie O'Brien	161
5	V8	Holden Racing Team	Brad Jones Craig Lowndes	161
6	V8	Holden Racing Team	Tomas Mezera Peter Brock	161
7	V8	Coca-Cola Racing	Win Percy Russell Ingall	159
8	V8	Shell FAI Racing	Allan Grice Steven Johnson	159
9	V8	Peter Jackson Racing	Glenn Seton Paul Radisich	158
10	V8	Daily Planet Racing	John Trimbole Steve Harrington	157
11	V8	Ampol Max 3 Racing	Bob Jones Troy Dunstan	156
12	V8	Anderson Consulting / Protech	Chris Smerdon Cameron McConville	155
13	V8	Pinnacle Motorsport	Greg Crick Tony Scott	154
14	V8	Don Watson Transport	Don Watson Ian Love	154
15	Prod.	Neville Crichton	Neville Crichton Mark Brame	141
16	Prod.	BP Mazda Motorsport	Garry Waldon Colin Bond	140
17	Prod.	Garry Rogers Motorsport	Steven Richards Garry Rogers	140
18	V8	Playscape Racing	Kevin Waldock Michael Preston	133
19	Prod.	Volvo Cars Australia Pty Ltd	Jan Lammers Kent Youlden	132
20	Prod.	Murray Carter	Murray Carter Terri Sawyer	129
21	Prod.	Falken Tyres	Keith Carling Kevin Burton	126
22	Prod.	Danny Bogut	Danny Bogut Ian Sawtell	123
DNF	V8	Peter Jackson Racing	Alan Jones David Parsons	147
DNF	V8	Group Motorsport	George Ayoub Mike Conway	130
NC	Prod.	David Sala	David Sala Steve Swaine	113
NC	V8	Diet-Coke Racing	Paul Morris Geoff Brabham	94
DNF	V8	Australian Boat Manufacturers	Graham Blythman Stephen Renshaw	56
DNF	V8	Malcolm Stenniken	Brett Youlden Malcolm Stenniken	34
DNF	V8	Coca-Cola Racing	Wayne Gardner Neil Crompton	27
