Team	Location	Joined	Conference	Division	Previous Conference
Canton Chiefs	Canton Township	2008	Kensington	South	Western Lakes Activities Association
Churchill Chargers	Livonia	2008	Kensington	South	Western Lakes Activities Association
Franklin Patriots	Livonia	2008	Kensington	South	Western Lakes Activities Association
John Glenn Rockets	Westland	2008	Kensington	South	Western Lakes Activities Association
Plymouth Wildcats	Canton Township	2008	Kensington	South	Western Lakes Activities Association
Wayne Memorial Zebras	Wayne	2008	Kensington	South	Western Lakes Activities Association
Northville Mustangs	Northville	2008	Kensington	Central	Western Lakes Activities Association
Novi Wildcats	Novi	2008	Kensington	Central	Kensington Valley Conference
Salem Rocks	Canton Township	2008	Kensington	Central	Western Lakes Activities Association
South Lyon Lions	South Lyon	2008	Kensington	Central	Kensington Valley Conference
South Lyon East Cougars	South Lyon	2008	Kensington	Central	none (school opened in 2008)
Stevenson Spartans	Livonia	2008	Kensington	Central	Western Lakes Activities Association
Lakeland Eagles	White Lake	2008	Lakes	North	Kensington Valley Conference
Walled Lake Central Vikings	Commerce Township	2008	Lakes	North	Western Lakes Activities Association
Walled Lake Northern Knights	Commerce Township	2008	Lakes	North	Western Lakes Activities Association
Walled Lake Western Warriors	Commerce Township	2008	Lakes	North	Western Lakes Activities Association
Waterford Kettering Captains	Waterford	2008	Lakes	North	Oakland Activities Association
Waterford Mott Corsairs	Waterford	2008	Lakes	North	Oakland Activities Association
Brighton Bulldogs	Brighton	2008	Lakes	West	Kensington Valley Conference
Grand Blanc Bobcats	Grand Blanc	2009	Lakes	West	Big Nine Conference
Hartland Eagles	Hartland Township	2008	Lakes	West	Kensington Valley Conference
Howell Highlanders	Howell	2008	Lakes	West	Kensington Valley Conference
Milford Mavericks	Highland Township	2008	Lakes	West	Kensington Valley Conference
