Player	Height	Position	Year born	Current Club
Rimantas Kaukėnas	1.92	Guard	1977	Montepaschi Siena
Giedrius Gustas	1.90	Guard	1980	Barons Riga
Jonas Mačiulis	2.00	Forward	1985	Žalgiris Kaunas
Darjuš Lavrinovič	2.12	Center	1979	UNICS Kazan
Ramūnas Šiškauskas	1.98	Guard	1978	CSKA Moscow
Darius Songaila	2.04	Forward	1978	Washington Wizards
Simas Jasaitis	2.00	Forward	1982	TAU Cerámica
Linas Kleiza	2.03	Forward	1985	Denver Nuggets
Kšyštof Lavrinovič	2.10	Center	1979	Montepaschi Siena
Šarūnas Jasikevičius	1.92	Guard	1976	Golden State Warriors
Paulius Jankūnas	2.05	Forward	1984	Žalgiris Kaunas
Robertas Javtokas	2.10	Center	1980	Dynamo Moscow
