Regiment	Company	Company Commander	Date of Election/Commission	County
1st Militia Regiment	"Home Defenders", Cavalry Company	Captain Logan Fitzhugh	February 8, 1861	Arkansas
1st Militia Regiment	"Dewitt Guards", Company Number 1	Captain D. B. Quertermous	February 8, 1861	Arkansas
1st Militia Regiment	"Dixie Grays"	Captain Sam G. Smith	June 1, 1861	Arkansas
1st Militia Regiment	"Arkansas Riflemen"	Captain C.C. Goddard	June 26, 1861	Arkansas
2nd Militia Regiment	"Spavinaw Volunteer Rifle Company"	Captain David C. Patten	February 21, 1861	Benton
4th Militia Regiment	"Volunteer Cavalry Company"	Captain William D. Adams	October 13, 1860	Conway
5th Militia Regiment	"Van Buren Frontier Guards"	Captain Hugh T. Brown	January 12, 1861	Crawford
5th Militia Regiment	"Independent Light Horse Guards"	Captain Powhatan Perkins	Prior to February 23, 1861	Crawford
5th Militia Regiment	"Pope Walker Guards"	Captain Charles A. Carroll	June 14, 1861	Crawford
6th Militia Regiment	"Napoleon Grays"	Captain Henry E. Green	February 28, 1861	Desha
6th Militia Regiment	"Napoleon Cavalry"	Captain J. L. Porter	March 7, 1861	Desha
6th Militia Regiment	"Home Guards"	Captain O. F. Parrish	March 8, 1861	Desha
7th Militia Regiment	"Volunteer Company Cavalry"	Captain Robert C. Tweedy	November 21, 1860	Franklin
7th Militia Regiment	"Volunteer Company Cavalry"	Captain John J. Walker	May 1, 1861	Franklin
7th Militia Regiment	"Volunteer Company Cavalry"	Captain John R. Titsworth	June 3, 1861	Franklin
7th Militia Regiment	"Volunteer Company Rangers"	Captain Albert H. Moffit	June 3, 1861	Franklin
7th Militia Regiment	"Ozark Rifles"	Captain David Alexander Stewart	July 1, 1861	Franklin
8th Militia Regiment	"Volunteer Company Cavalry"	Captain John H. Hall	June 25, 1860	Hempstead
8th Militia Regiment	"Hempstead Riflemen"	Captain John R. Gratiot	January 12, 1861	Hempstead
8th Militia Regiment	"Hempstead Cavalry"	Captain George E. Gamble	May 28, 1861	Hempstead
8th Militia Regiment	"Confederate Guards"	Captain John A. Rowles	July 8, 1861	Hempstead
10th Militia Regiment	"Clarksville Riflemen"	Captain Oliver Basham	January 18, 1860	Johnson
10th Militia Regiment	"Independent Company Cavalry"	Captain Lynus Armstrong	December 28, 1860	Johnson
10th Militia Regiment	"Johnson Mounted Rifles"	Captain Oliver Basham	May 22, 1861	Johnson
10th Militia Regiment	"Volunteer Company Infantry"	Captain J. W. Ring	June 12, 1861	Johnson
10th Militia Regiment	" Johnson County Lancers"	Captain Baston W. Cox	June 18, 1861	Johnson
10th Militia Regiment	"South Johnson Rifles"	Captain George Turner	July 10, 1861	Johnson
11th Militia Regiment	"Volunteer Company Militia"	Captain Patrick Saunders	June 3, 1861	Madison
12th Militia Regiment	"Volunteer Company Cavalry"	Captain M.G. B. Scafe	September 17, 1860	Phillips
12th Militia Regiment	"Yell Riflemen"	Captain Patrick R. Cleburne	February 18, 1861	Phillips
12th Militia Regiment	"LaGrange Cavalry"	Captain Thomas Gist	February 18, 1861	Phillips
12th Militia Regiment	"Tappan Guards"	Captain James C. Tappan	May 23, 1861	Phillips
12th Militia Regiment	"Artillery Company Helena Greys"	Captain J. C. Clendening	December 11, 1861	Phillips
13th Militia Regiment	"Pulaski Lancers"	Captain Thomas J. Churchill	March 16, 1860	Pulaski
13th Militia Regiment	"Peyton's Rifles"	Captain Daniel W. Ringo	April 20, 1861	Pulaski
13th Militia Regiment	"Pulaski Rangers"	Captain R. W. Stevenson	June 3, 1861	Pulaski
14th Militia Regiment	"Harrisburg Riflemen"	Captain Granville F. Smith	June 3, 1861	Poinsett
14th Militia Regiment	"Volunteer Company"	Captain Benjamin Harris	August 1, 1861	Poinsett
14th Militia Regiment	"Volunteer Company"	Captain James Shegres	August 6, 1861	Poinsett
14th Militia Regiment	"Confederate Greys"	Captain Evan Watkins	August 10, 1861	Poinsett
14th Militia Regiment	"Rough and Ready"	Captain William F. J. Clements	August 10, 1861	Poinsett
14th Militia Regiment	"Tappan Guards"	Captain Robert B. Lambert	August 10, 1861	Poinsett
14th Militia Regiment	"Volunteer Company"	Captain Andrew Balfou	August 12, 1861	Poinsett
15th Militia Regiment	Volunteer Light Infantry or Riflemen Company	Captain A. D. Oats	January 8, 1861	Pope
15th Militia Regiment	"Dover Mounted Riflemen "	Captain John H. Scott	June 12, 1861	Pope
15th Militia Regiment	"Pope County Lancers "	Captain Thos. P. Linton	June 13, 1861	Pope
15th Militia Regiment	"Volunteer Company Infantry"	Captain Caleb Davis	June 24, 1861	Pope
15th Militia Regiment	"Volunteer Company Cavalry"	Captain Samuel Brown	March 31, 1862	Pope
17th Militia Regiment	"Company Mounted Riflemen"	Captain Daniel Williams	June 4, 1860	Scott
17th Militia Regiment	"Company of Cavalry"	Captain George W. Featherston	June 4, 1860	Scott
18th Militia Regiment	"Volunteer Infantry Company"	Captain Samuel Abby	May 16, 1860	Saline
18th Militia Regiment	"Volunteer Infantry Company "	Captain J. D. Heuster	May 16, 1860	Saline
18th Militia Regiment	"Saline Rifle Rangers"	Captain Mazarine J. Henderson	May 29, 1861	Saline
19th Militia Regiment	"Home Guards"	Captain R. C. Harris	May 3, 1861	St. Frances
19th Militia Regiment	"Linden Dead Shots"	Captain Poindexter Dunn	May 16, 1861	St. Frances
19th Militia Regiment	"Richland Rangers"	Captain John C. Johnson	August 26, 1861	St. Frances
20th Militia Regiment	"Washington Rifle Guards"	Captain George C. North	January 7, 1860	Washington
20th Militia Regiment	"Washington Mounted Rifles"	Captain James M. Tuttle	February 18, 1860	Washington
20th Militia Regiment	"Volunteer Company Cavalry"	Captain Thomas Kelly	May 28, 1861	Washington
21st Militia Regiment	"Volunteer Company Cavalry"	Captain James M. West	September 14, 1860	White
22nd Militia Regiment	"Quitman Rifles"	Captain Allen R. Witt	June 24, 1861	Van Buren
24th Militia Regiment	"Jefferson Guards"	Captain Charles H. Carlton	September 24, 1860	Jefferson
24th Militia Regiment	"Southern Guards"	Captain Joseph W. Bocage	December 18, 1860	Jefferson
24th Militia Regiment	"Pine Bluff Artillery"	Captain Frederick Stick	April 21, 1861	Jefferson
