Res.	Record	Opponent	Method	Event	Round	Time	Location
Loss	21–8	Rich Franklin	KO (punch)	UFC 115	1	4:55	Vancouver, British Columbia , Canada
Loss	21–7	Maurício Rua	TKO (punches)	UFC 97	1	4:28	Montreal, Quebec , Canada
Loss	21–6	Rashad Evans	KO (punch)	UFC 88	2	1:51	Atlanta, Georgia , United States
Win	21–5	Wanderlei Silva	Decision (unanimous)	UFC 79	3	5:00	Las Vegas, Nevada , United States
Loss	20–5	Keith Jardine	Decision (split)	UFC 76	3	5:00	Anaheim, California , United States
Loss	20–4	Quinton Jackson	TKO (punches)	UFC 71	1	1:53	Las Vegas, Nevada , United States
Win	20–3	Tito Ortiz	TKO (punches)	UFC 66	3	3:59	Las Vegas, Nevada , United States
Win	19–3	Renato Sobral	TKO (punches)	UFC 62	1	1:35	Las Vegas, Nevada , United States
Win	18–3	Randy Couture	KO (punches)	UFC 57	2	1:28	Las Vegas, Nevada , United States
Win	17–3	Jeremy Horn	TKO (punches)	UFC 54	4	2:46	Las Vegas, Nevada , United States
Win	16–3	Randy Couture	KO (punches)	UFC 52	1	2:06	Las Vegas, Nevada , United States
Win	15–3	Vernon White	KO (punch)	UFC 49	1	4:05	Las Vegas, Nevada , United States
Win	14–3	Tito Ortiz	KO (punches)	UFC 47	2	0:38	Las Vegas, Nevada , United States
Loss	13–3	Quinton Jackson	TKO (corner stoppage)	Pride Final Conflict 2003	2	3:10	Tokyo , Japan
Win	13–2	Alistair Overeem	KO (punches)	Pride Total Elimination 2003	1	3:09	Saitama, Saitama , Japan
Loss	12–2	Randy Couture	TKO (punches)	UFC 43	3	2:39	Las Vegas, Nevada , United States
Win	12–1	Renato Sobral	TKO (head kick & punches)	UFC 40	1	2:55	Las Vegas, Nevada , United States
Win	11–1	Vitor Belfort	Decision (unanimous)	UFC 37.5	3	5:00	Las Vegas, Nevada , United States
Win	10–1	Amar Suloev	Decision (unanimous)	UFC 35	3	5:00	Uncasville, Connecticut , United States
Win	9–1	Murilo Bustamante	Decision (unanimous)	UFC 33	3	5:00	Las Vegas, Nevada , United States
Win	8–1	Guy Mezger	KO (punch)	Pride 14	2	0:21	Kanagawa , Japan
Win	7–1	Kevin Randleman	KO (punches)	UFC 31	1	1:18	Atlantic City, New Jersey , United States
Win	6–1	Jeff Monson	Decision (unanimous)	UFC 29	3	5:00	Tokyo , Japan
Win	5–1	Steve Heath	KO (head kick)	IFC 9	2	5:39	Friant, California , United States
Win	4–1	Paul Jones	TKO (cut)	UFC 22	1	3:53	Lake Charles, Louisiana , United States
Win	3–1	Kenneth Williams	Submission (standing rear-naked choke)	NG 11	1	3:35	Los Angeles, California , United States
Loss	2–1	Jeremy Horn	Submission (arm-triangle choke)	UFC 19	1	12:00	Bay St. Louis, Mississippi , United States
Win	2–0	José Landi-Jons	Decision (unanimous)	IVC 6	1	30:00	Sao Paulo , Brazil
Win	1–0	Noe Hernandez	Decision (unanimous)	UFC 17	1	12:00	Mobile, Alabama , United States
