Position	Driver	Points	Winnings	Series
1	Mark Martin	61	$225,000	NASCAR Winston Cup
2	Robby Gordon	54	$100,000	Indy Car
3	Johnny Benson	50	$60,000	NASCAR Busch Series
4	Terry Labonte	48	$50,000	NASCAR Winston Cup
5	Al Unser, Jr.	48	$45,000	Indy Car
6	Sterling Marlin	40	$40,000	NASCAR Winston Cup
7	Scott Pruett	40	$40,000	Indy Car
8	Dale Earnhardt	39	$40,000	NASCAR Winston Cup
9	Tommy Kendall	36	$40,000	SCCA Trans-Am Series
10	Jeff Gordon	30	$40,000	NASCAR Winston Cup
11	Rusty Wallace	26	$40,000	NASCAR Winston Cup
