Driver	Constructor	Laps	Time/Retired	Grid
Kimi Räikkönen	Ferrari	56	1:31:18.555	2
Robert Kubica	BMW Sauber	56	+19.570	4
Heikki Kovalainen	McLaren - Mercedes	56	+38.450	8
Jarno Trulli	Toyota	56	+45.832	3
Lewis Hamilton	McLaren - Mercedes	56	+46.548	9
Nick Heidfeld	BMW Sauber	56	+49.833	5
Mark Webber	Red Bull - Renault	56	+1:08.130	6
Fernando Alonso	Renault	56	+1:10.041	7
David Coulthard	Red Bull - Renault	56	+1:16.220	12
Jenson Button	Honda	56	+1:26.214	11
Nelson Piquet Jr.	Renault	56	+1:32.202	13
Giancarlo Fisichella	Force India - Ferrari	55	+1 Lap	17
Rubens Barrichello	Honda	55	+1 Lap	14
Nico Rosberg	Williams - Toyota	55	+1 Lap	16
Anthony Davidson	Super Aguri - Honda	55	+1 Lap	21
Takuma Sato	Super Aguri - Honda	54	+2 Laps	19
Kazuki Nakajima	Williams - Toyota	54	+2 Laps	22
Sebastian Vettel	Toro Rosso - Ferrari	39	Hydraulics	15
Felipe Massa	Ferrari	30	Spun off	1
Adrian Sutil	Force India - Ferrari	5	Hydraulics	20
Timo Glock	Toyota	1	Collision	10
Sébastien Bourdais	Toro Rosso - Ferrari	0	Spun off	18
Source:	Source:	Source:	Source:	Source:
