Pick #	Player	Position	Nationality	NHL team	College/junior/club team
17	Lorne Henning	Centre	Canada	New York Islanders	New Westminster Bruins (WCHL)
18	Dwight Bialowas	Defence	Canada	Atlanta Flames	Regina Pats (WCHL)
19	Bryan McSheffrey	Right Wing	Canada	Vancouver Canucks	Ottawa 67's OMJHL)
20	Don Kozak	Right Wing	Canada	Los Angeles Kings	Edmonton Oil Kings (WCHL)
21	Larry Sacharuk	Defence	Canada	New York Rangers	Saskatoon Blades (WCHL)
22	Tom Cassidy	Centre	Canada	California Golden Seals	Kitchener Rangers (OMJHL)
23	Tom Bladon	Defence	Canada	Philadelphia Flyers	Edmonton Oil Kings (WCHL)
24	Jack Lynch	Defence	Canada	Pittsburgh Penguins	Oshawa Generals (OMJHL)
25	Larry Carriere	Defence	Canada	Buffalo Sabres	Loyola College (CIAU)
26	Pierre Guite	Left Wing	Canada	Detroit Red Wings	University of Pennsylvania (ECAC)
27	Randy Osburn	Left Wing	Canada	Toronto Maple Leafs	London Knights (OMJHL)
28	Stan Weir	Centre	Canada	California Golden Seals	Medicine Hat Tigers (WCHL)
29	Brian Ogilvie	Centre	Canada	Chicago Black Hawks	Edmonton Oil Kings (WCHL)
30	Bernie Lukowich	Right Wing	Canada	Pittsburgh Penguins	New Westminster Bruins (WCHL)
31	Rene Villemure	Left Wing	Canada	New York Rangers	Shawinigan Dynamos (QMJHL)
32	Wayne Elder	Defence	Canada	Boston Bruins	London Knights (OMJHL)
