Date	Opponent	Venue	Result	Attendance
1 August 1998	Heart of Midlothian	A	1–2	15,892
15 August 1998	Motherwell	H	2–1	49,275
22 August 1998	Kilmarnock	A	3–1	17,608
29 August 1998	St. Johnstone	H	4–0	48,732
12 September 1998	Dundee United	A	0–0	12,788
20 September 1998	Celtic	H	0–0	50,026
23 September 1998	Aberdeen	A	1–1	17,862
26 September 1998	Dunfermline Athletic	A	2–0	11,507
4 October 1998	Dundee	H	1–0	48,348
17 October 1998	Heart of Midlothian	H	3–0	49,749
28 October 1998	Motherwell	A	0–1	11,777
31 October 1998	Dundee United	H	2–1	49,503
8 November 1998	St. Johnstone	A	7–0	9,636
14 November 1998	Aberdeen	H	2–1	49,479
21 November 1998	Celtic	A	1–5	59,703
5 December 1998	Dunfermline Athletic	H	1–1	47,465
12 December 1998	Kilmarnock	H	1–0	49,781
19 December 1998	Heart of Midlothian	A	3–2	17,134
26 December 1998	St. Johnstone	H	1–0	49,479
30 December 1998	Dundee United	A	2–1	11,707
3 January 1999	Celtic	H	2–2	50,059
27 January 1999	Dundee	A	4–0	9,453
30 January 1999	Aberdeen	A	4–2	19,537
7 February 1999	Dunfermline Athletic	A	3–0	11,500
20 February 1999	Dundee	H	6–1	49,462
28 February 1999	Kilmarnock	A	5–0	16,242
13 March 1999	Motherwell	H	2–1	49,483
20 March 1999	Dundee United	H	0–1	49,164
4 April 1999	St. Johnstone	A	1–3	9,740
14 April 1999	Dunfermline Athletic	H	1–0	46,220
18 April 1999	Dundee	A	1–1	11,051
25 April 1999	Aberdeen	H	3–1	49,145
2 May 1999	Celtic	A	3–0	59,918
9 May 1999	Heart of Midlothian	H	0–0	49,495
15 May 1999	Motherwell	A	5–1	11,078
23 May 1999	Kilmarnock	H	1–1	48,835
