Game	Date	Team	Score	High points	High rebounds	Location Attendance	Record
16	December 3	Washington	W 95–93 (OT)	Vince Carter (23)	Charles Oakley (9)	Air Canada Centre 15,787	10-6
17	December 5	San Antonio	W 98–92 (OT)	Vince Carter (39)	Charles Oakley (11)	Air Canada Centre 18,455	11-6
18	December 7	Cleveland	W 101–98 (OT)	Vince Carter (32)	Charles Oakley (9)	Air Canada Centre 15,162	12-6
19	December 10	Milwaukee	L 91–107 (OT)	Vince Carter (25)	Kevin Willis (10)	Air Canada Centre 17,963	12-7
20	December 12	Utah	L 88–103 (OT)	Vince Carter , Kevin Willis (16)	Antonio Davis , Kevin Willis (10)	Air Canada Centre 18,163	12-8
21	December 14	Indiana	W 105–97 (OT)	Vince Carter (24)	Antonio Davis (14)	Air Canada Centre 15,774	13-8
22	December 15	@ Philadelphia	L 91–93 (OT)	Vince Carter (19)	Antonio Davis (18)	First Union Center 15,421	13-9
23	December 17	@ Orlando	L 98–112 (OT)	Vince Carter (23)	Antonio Davis (13)	Orlando Arena 13,481	13-10
24	December 19	L.A. Lakers	L 88–94 (OT)	Vince Carter (29)	Antonio Davis (16)	Air Canada Centre 19,800	13-11
25	December 21	New Jersey	W 116–87 (OT)	Vince Carter (24)	Kevin Willis (10)	Air Canada Centre 18,677	14-11
26	December 22	@ New York	L 90–91 (OT)	Vince Carter (36)	Antonio Davis (17)	Madison Square Garden 19,763	14-12
27	December 26	@ Cleveland	W 98–95 (OT)	Vince Carter (36)	Antonio Davis , Charles Oakley (10)	Gund Arena 14,135	15-12
28	December 28	@ Houston	W 100–99 (OT)	Vince Carter (35)	Vince Carter (12)	Compaq Center 16,285	16-12
29	December 30	@ Dallas	W 109–104 (OT)	Tracy McGrady (24)	Antonio Davis (15)	Reunion Arena 16,490	17-12
