No.	Player	League Apps	League Goals	Cup Apps	Cup Goals	Total Apps	Total Goals	YC	RC
24	Steve Adams Category:Articles with hCards	12	0	7	0	19	0	1	0
36	Mikkel Andersen Category:Articles with hCards	3	0	0	0	3	0	0	0
12	Jody Banim Category:Articles with hCards	8	0	0	0	8	0	1	0
15	Tony Bedeau Category:Articles with hCards	23	0	4	0	27	0	4	0
9	Elliot Benyon Category:Articles with hCards	22	5	8	0	30	5	1	0
20	Roscoe D'Sane Category:Articles with hCards	19	3	6	2	25	5	3	0
25	Mark Ellis Category:Articles with hCards	22	3	7	0	29	3	3	0
14	Chris Hargreaves Category:Articles with hCards	38	3	14	2	52	5	8	0
11	Kevin Hill Category:Articles with hCards	13	2	7	1	20	3	0	0
2	Paul Hinshelwood Category:Articles with hCards	7	1	1	0	8	1	1	0
16	Matthew Hockley Category:Articles with hCards	29	1	4	0	33	1	5	0
20	Scott Laird Category:Articles with hCards	2	0	0	0	2	0	0	0
10	Lee Phillips Category:Articles with hCards	41	12	13	5	54	17	6	0
7	Lee Mansell Category:Articles with hCards	34	1	14	0	48	1	7	1
23	Kaid Mohamed Category:Articles with hCards	10	2	4	2	14	4	0	0
17	Darren Mullings Category:Articles with hCards	6	1	1	0	7	1	1	1
3	Kevin Nicholson Category:Articles with hCards	46	1	16	0	62	1	0	0
27	Michael Poke Category:Articles with hCards	4	0	2	0	6	0	0	0
1	Simon Rayner Category:Articles with hCards	30	0	3	0	33	0	0	0
21	Martin Rice Category:Articles with hCards	9	0	11	0	20	0	1	0
5	Chris Robertson Category:Articles with hCards	23	2	8	0	31	2	3	0
8	Tim Sills Category:Articles with hCards	44	19	15	4	59	23	5	0
19	Danny Stevens Category:Articles with hCards	29	2	10	3	39	5	2	0
24	Leslie Thompson Category:Articles with hCards	1	0	1	0	2	0	0	0
6	Chris Todd Category:Articles with hCards	42	5	15	2	57	7	8	0
18	Ishmael Welsh Category:Articles with hCards	18	1	4	0	22	4	0	0
4	Steve Woods Category:Articles with hCards	21	0	8	0	29	0	5	0
12	Danny Wring Category:Articles with hCards	6	0	1	0	7	0	0	0
