Outcome	Date	Tournament	Surface	Partner	Opponents in the final	Score
Runner–up	20-Jul-2003	Puerto Ordaz	Hard	Virginia Donda	Soledad Esperon Flavia Mignola	4-6, 4-6
Runner–up	03-May-2004	Mérida, Yucatán	Hard	Andrea Benitez	Erika Clarke Anne Mall	5-7, 5-7
Winner	5 September 2004	Asunción	Clay	Verónica Spiegel	Bruna Colosio Ana Lucía Migliarini de León	7–5, 6–4
Runner–up	15-Nov-2005	Puebla	Hard	Verónica Spiegel	Ivana Abramovic Maria Abramovic	6-4, 4-6, 6-7
Winner	12 February 2006	Mérida, Yucatán	Hard	Agustina Lepore	Erika Clarke Daniela Múñoz Gallegos	6–1, 6–2
Winner	28 May 2006	Monterrey	Hard	Agustina Lepore	Valérie Tétreault Lorena Villalobos Cruz	4–6, 6–1, 6–2
Winner	11 June 2006	Jalapa	Hard	Daniela Múñoz Gallegos	María Irigoyen Flavia Mingola	7–6 (8), 3–6, 6–1
Winner	16 July 2006	Caracas	Hard	Andrea Koch Benvenuto	María Irigoyen Flavia Mingola	4–6, 6–2, 6–2
Winner	17 September 2006	Tampico	Hard	Daniela Múñoz Gallegos	Erika Clarke Courtney Nagle	WO
Winner	24 September 2006	Guadalajara	Clay	Daniela Múñoz Gallegos	Alexandra Dulgheru Valeria Pulido Velasco	7–5, 6–4
Winner	1 October 2006	Ciudad Juárez	Clay	Estefania Craciún	Erika Clarke Courtney Nagle	6–1, 6–1
Runner–up	15-May-2007	Palm Beach Gardens	Clay	Estefania Craciún	Monique Adamczak Aleke Tsoubanos	5-7, 6-2, 3-6
Winner	10 June 2007	Madrid , Spain	Clay	Jorgelina Cravero	Nina Bratchikova Neuza Silva	6–4, 6–4
Winner	5 August 2007	Washington, D.C.	Hard	Jorgelina Cravero	Julie Ditty Natalie Grandin	1–6, 6–1, 6–2
Runner–up	08-Oct-2007	San Francisco	Hard	Jorgelina Cravero	Angela Haynes Raquel Kops-Jones	6-3, 4-6, 7-10
Runner–up	15-Oct-2007	San Luis Potosi	Hard	Estefania Craciun	Debbrich Feys Chanelle Scheepers	1-6, 4-6
Runner–up	14-Jan-2008	Surprise	Hard	Maria Fernanda Alves	Carly Gullickson Shenay Perry	4-6, 5-7
Winner	27 January 2008	Waikoloa Village	Hard	Maria Fernanda Alves	Angela Haynes Mashona Washington	7–5, 6–4
Winner	5 April 2008	Civitavecchia	Clay	Jorgelina Cravero	Stefania Chieppa Darya Kustova	4–6, 6–3, 10–6
Runner–up	07-Apr-2008	Biarritz	Clay	Jorgelina Cravero	Martina Muller Christina Wheeler	6-7, 6-3, 8-10
Runner–up	15-Sep-2008	Albuquerque	Clay	Jorgelina Cravero	Julie Ditty Carly Gullickson	3-6, 4-6
Winner	29-Sep-2008	Juarez	Clay	Jorgelina Cravero	Soledad Esperon Florencia Molinero	6-0 7-6 (8)
Winner	29-Sep-2008	Cali	Clay	Arantxa Parra Santonja	Frederica Piedade Anastasiya Yakimova	6-3 6-1
Runner–up	14-Sep-2009	Napoli	Clay	Maria Irigoyen	Nina Bratchikova Oksana Kalashnikova	6-7, 6-2, 8-10
Runner–up	28-Sep-2009	Granada	Hard	Valeria Savinykh	Nina Bratchikova Arina Rodionova	1-6, 6-3, 5-10
Winner	06-Jun-2011	Rosario	Clay	Jorgelina Cravero	Florencia Di Biasi Vanesa Furlanetto	6-2 7-6 (7)
Runner–up	13-Jun-2011	Santa Fe	Clay	Agustina Lepore	Florencia Di Biasi Vanesa Furlanetto	6-3, 4-6, 4-6
