No. in series	Title	Written by	Directed by	Original air date	TV broadcast
53	"Biker Knights of the Round Table (part 1)"	Glenn Leopold	Tom Tataranowicz	September23,1995	S03E01
54	"Biker Knights of the Round Table (part 2)"	Glenn Leopold	Richard Trueblood	September30,1995	S03E02
55	"Virtual Unreality"	Jess Winfield	Tom Tataranowicz	October7,1995	S03E03
56	"Pitfall"	Greg Johnson	Tom Mclaulin , Richard Trueblood	October14,1995	S03E04
57	"Diet of Worms"	Jess Winfield	Tom Mclaulin , Rich Trueblood	October21,1995	S03E05
58	"Rocketh and Rideth"	Jess Winfield	Tom Tataranowicz	November4,1995	S03E06
60	"Hit the Road, Jack"	Greg Blair & Glenn Leopold	Tom Tataranowicz	November18,1995	S03E08
61	"Caveat Mentor"	Glenn Leopold	Tom Mclaulin & Tom Tataranowicz	November25,1995	S03E09
62	"Where No Mouse Has Gone Before"	Jess Winfield	Tom Mclaulin	January3,1996	S03E10
63	"Once Upon a Time on Mars (part 1)"	Glenn Leopold , Greg Johnson & Tom Tataranowicz	Tom Tataranowicz	February10,1996	S03E11
64	"Once Upon a Time on Mars (part 2)"	Jess Winfield , Greg Johnson & Tom Tataranowicz	Tom Tataranowicz	February17,1996	S03E12
