Rank	Heat	Lane	Name	Nationality	Time
1	8	4	Eamon Sullivan	Australia	47.80
2	8	5	Stefan Nystrand	Sweden	47.83
3	7	6	Brent Hayden	Canada	47.84
4	9	4	Alain Bernard	France	47.85
5	8	6	Pieter van den Hoogenband	Netherlands	47.97
6	7	8	Milorad Čavić	Serbia	48.15
7	8	3	César Cielo Filho	Brazil	48.16
8	9	5	Garrett Weber-Gale	United States	48.19
9	9	7	Lyndon Ferns	South Africa	48.26
10	7	3	Filippo Magnini	Italy	48.30
11	7	4	Jason Lezak	United States	48.33
12	9	6	Matt Targett	Australia	48.40
13	7	5	Fabien Gilot	France	48.42
14	8	2	Andrey Grechin	Russia	48.50
15	9	8	Jonas Persson	Sweden	48.51
16	7	7	Dominik Meichtry	Switzerland	48.55
16	8	8	Christian Galenda	Italy	48.55
18	9	3	Yevgeny Lagunov	Russia	48.59
19	7	1	Yoris Grandjean	Belgium	48.82
20	6	8	George Bovell	Trinidad and Tobago	48.83
21	5	6	Martin Verner	Czech Republic	48.95
22	6	5	Albert Subirats	Venezuela	48.97
23	8	1	Joel Greenshields	Canada	49.04
24	4	4	Jason Dunford	Kenya	49.06
25	6	1	Chen Zuo	China	49.08
26	4	5	Nimrod Shapira Bar-Or	Israel	49.10
27	9	1	Jakob Andkjær	Denmark	49.25
28	5	5	Balázs Makány	Hungary	49.27
28	5	7	Paulius Viktoravicius	Lithuania	49.27
30	8	7	Ryk Neethling	South Africa	49.28
31	4	6	Peter Mankoč	Slovenia	49.33
32	6	3	Nabil Kebbab	Algeria	49.38
33	9	2	Steffen Deibler	Germany	49.39
34	7	2	Duje Draganja	Croatia	49.49
35	6	2	José Meolans	Argentina	49.50
36	5	1	Shaune Fraser	Cayman Islands	49.56
36	6	7	Yuriy Yegoshin	Ukraine	49.56
38	6	4	Mitja Zastrow	Netherlands	49.61
39	4	1	Ryan Pini	Papua New Guinea	49.72
40	6	6	Hisayoshi Sato	Japan	49.85
41	4	3	Matti Rajakylä	Finland	49.91
42	3	4	Virdhawal Khade	India	50.07
43	5	2	Martín Kutscher	Uruguay	50.08
44	5	3	Stanislau Neviarouski	Belarus	50.14
45	5	4	Tiago Venâncio	Portugal	50.30
46	3	2	Romāns Miloslavskis	Latvia	50.40
47	3	3	Terrence Haynes	Barbados	50.50
48	4	8	Aristeidis Grigoriadis	Greece	50.62
49	5	8	Örn Arnarson	Iceland	50.68
50	4	2	Norbert Trandafir	Romania	50.74
51	4	7	Danil Haustov	Estonia	50.92
52	3	7	Alexandr Sklyar	Kazakhstan	51.24
53	2	6	Jan Roodzant	Aruba	51.69
54	3	6	Lim Nam-Gyun	South Korea	51.80
55	3	1	Petr Romashkin	Uzbekistan	51.83
56	2	3	Mikael Koloyan	Armenia	51.89
57	2	2	Gael Adam	Mauritius	52.35
58	2	5	Carl Probert	Fiji	52.37
59	3	8	Christopher Duenas	Guam	52.64
60	2	4	Roy-Allan Burch	Bermuda	52.65
61	2	7	Obaid Al-Jasmi	United Arab Emirates	53.29
62	1	3	Emile Bakale	Congo	55.08
63	1	4	Miguel Angel Navarro	Bolivia	56.96
64	1	5	Sofyan El Gidi	Libya	57.89
