Outcome	Date	Championship	Surface	Opponent	Score
Winner	October 8, 2001	Lyon , France	Carpet (i)	Younes El Aynaoui	6–3, 6–2
Runner-up	January 12, 2004	Doha , Qatar	Hard	Nicolas Escudé	3–6, 6–7 (4–7)
Runner-up	January 10, 2005	Doha , Qatar (2)	Hard	Roger Federer	3–6, 6–7 (4–7)
Runner-up	February 14, 2005	Marseille , France	Hard (i)	Joachim Johansson	5–7, 4–6
Runner-up	February 21, 2005	Rotterdam , Netherlands	Hard (i)	Roger Federer	7–5, 5–7, 6–7 (5–7)
Runner-up	February 28, 2005	Dubai , UAE	Hard	Roger Federer	1–6, 7–6 (8–6) , 3–6
Winner	October 9, 2005	Metz , France	Hard (i)	Gaël Monfils	7–6 (9–7) , 6–0
Winner	October 16, 2005	Vienna , Austria	Hard (i)	Juan Carlos Ferrero	6–2, 6–4, 7–6 (7–5)
Runner-up	October 24, 2005	Madrid , Spain	Hard (i)	Rafael Nadal	6–3, 6–2, 3–6, 4–6, 6–7 (3–7)
Runner-up	November 7, 2005	Paris , France	Carpet (i)	Tomáš Berdych	3–6, 4–6, 6–3, 6–4, 4–6
Winner	January 8, 2006	Chennai , India	Hard	Carlos Moyà	7–6 (8–6) , 6–2
Winner	February 5, 2006	Zagreb , Croatia	Carpet (i)	Stefan Koubek	6–3, 6–4
Runner-up	April 3, 2006	Miami , USA	Hard	Roger Federer	6–7 (5–7) , 6–7 (4–7) , 6–7 (6–8)
Runner-up	October 2, 2006	Bangkok , Thailand	Hard (i)	James Blake	3–6, 1–6
Winner	October 15, 2006	Vienna , Austria	Hard (i)	Fernando González	6–3, 6–4, 7–5
Winner	January 6, 2007	Doha , Qatar	Hard	Andy Murray	6–4, 6–4
Runner-up	February 5, 2007	Zagreb , Croatia	Carpet (i)	Marcos Baghdatis	6–7 (4–7) , 6–4, 4–6
Runner-up	February 26, 2007	Rotterdam , Netherlands	Hard (i)	Mikhail Youzhny	2–6, 4–6
Winner	June 17, 2007	's-Hertogenbosch , Netherlands	Grass	Peter Wessels	7–6 (7–5) , 4–6, 7–6 (7–4)
Runner-up	March 1, 2008	Zagreb , Croatia	Hard (i)	Sergiy Stakhovsky	5–7, 4–6
Winner	November 1, 2009	Lyon , France	Hard (i)	Michaël Llodra	7–5, 6–3
Winner	March 21, 2010	Indian Wells , USA	Hard	Andy Roddick	7–6 (7–3) , 7–6 (7–5)
Runner-up	October 31, 2010	Montpellier , France	Hard (i)	Gaël Monfils	2–6, 7–5, 1–6
Runner-up	September 25, 2011	Metz , France	Hard (i)	Jo-Wilfried Tsonga	3–6, 7–6 (7–4) , 3–6
