Player	Nationality	Position	From	School/Country
, Robert Sacre	Canada	Center	2012	Gonzaga
, John Salley	United States	Forward/Center	1999	Georgia Tech
Samake, Soumaila Soumaila Samake	Mali	Center	2002	Mali
, Jamal Sampson	United States	Forward/Center	2003	California
, Frank Saul	United States	Guard/Forward	1951	Seton Hall
, Herm Schaefer	United States	Guard/Forward	1948	Indiana
, Danny Schayes	United States	Center	1993	Syracuse
, Dick Schnittker	United States	Forward	1953	Ohio State
, Howie Schultz	United States	Forward/Center	1951	Hamline
, Byron Scott	United States	Guard	1983; 1996	Arizona State
, Charlie Scott	United States	Guard/Forward	1977	North Carolina
, Shea Seals	United States	Guard	1997	Tulsa
, Frank Selvy	United States	Guard/Forward	1959	Furman
, Ramon Sessions	United States	Guard	2012	Nevada
, Brian Shaw	United States	Guard	1999	UC Santa Barbara
, Bob Sims	United States	Guard/Forward	1961	Pepperdine
, Whitey Skoog	United States	Guard	1951	Minnesota
, Bobby Smith	United States	Guard	1959	West Virginia
, Don Smith	United States	Guard/Forward	1948	Minnesota
, Elmore Smith	United States	Center	1973	Kentucky State
, Joe Smith	United States	Forward	2010	Maryland
, Tony Smith	United States	Guard	1990	Marquette
, Mike Smrek	Canada	Center	1986	Canisius
, Rory Sparrow	United States	Guard	1991	Villanova
, Art Spoelstra	United States	Center	1957	Western Kentucky
, Larry Spriggs	United States	Forward	1983	Howard
, Derek Strong	United States	Forward/Center	1995	Xavier
, Gene Stump	United States	Guard/Forward	1949	DePaul
, Don Sunderlage	United States	Guard	1954	Illinois
