Date	Centerfold model	Interview subject	20 Questions	Pictorials
1-06	Athena Lundberg	Mark Cuban	Kate Beckinsale	Lisa Guerrero
2-06	Cassandra Lynn	Al Franken	Hugh Laurie	Adrianne Curry, Girls of Tuscany
3-06	Monica Leigh	Kanye West	Franz Ferdinand	Willa Ford
4-06	Holley Ann Dorrough	Keanu Reeves	Craig Ferguson	Candice Michelle, Cyber Girls in print
5-06	Alison Waite	Ozzie Guillén	Rebecca Romijn	Girls of the top 10 party schools, Rachel Sterling
6-06	Stephanie Larimore	Shepard Smith	Jason Lee	PMOY - Kara Monaco, Girls of MySpace
7-06	Sara Jean Underwood	Jerry Bruckheimer	Dana White	Vida Guerra
8-06	Nicole Voss	Denis Leary	Luke Wilson	Girls of Orange County , Stacey Dash
9-06	Janine Habeck	Michael D. Brown	Eva Longoria	The Girls Next Door , Natalie Reid
10-06	Jordan Monroe	Ludacris	Johnny Knoxville	Girls of the Big 12 , Christine Dolce
11-06	Sarah Elizabeth	Arianna Huffington	Tenacious D	Mercedes McNab, Girls of Hawaiian Tropic
12-06	Kia Drayton	Dixie Chicks	Samuel L. Jackson	Cindy Margolis, Danielle Lloyd
