Driver	Team	Laps	Time/Retired	Grid	Points
Sébastien Bourdais	N/H/L Racing	78	1:40:43.975	1	32
Oriol Servia	Forsythe Racing	78	+2.6 secs	1	28
Will Power	Team Australia	78	+3.9 secs	1	26
Justin Wilson	RSPORTS	78	+5.4 secs	1	23
Alex Tagliani	RSPORTS	78	+6.2 secs	1	21
Bruno Junqueira	Dale Coyne Racing	78	+6.4 secs	8	19
Neel Jani	PKV Racing	78	+7.7 secs	12	17
Graham Rahal	N/H/L Racing	78	+8.3 secs	5	15
Ryan Dalziel	Pacific Coast Motorsports	78	+9.0 secs	16	13
Katherine Legge	Dale Coyne Racing	78	+9.9 secs	18	11
Tristan Gommendy	PKV Racing	78	+10.3 secs	9	10
Dan Clarke	Minardi Team USA	77	+ 1 Lap	14	9
Robert Doornbos	Minardi Team USA	74	+ 4 Laps	6	8
Simon Pagenaud	Team Australia	73	+ 5 Laps	3	8
Matt Halliday	Conquest Racing	72	Mechanical	13	6
Alex Figge	Pacific Coast Motorsports	69	Contact	17	5
Mario Dominguez	Forsythe Racing	7	Contact	10	4
