Team	Constructor	Motorcycle	Rider	Rounds
Fiat Yamaha Team	Yamaha	Yamaha YZR-M1	Valentino Rossi	All
Fiat Yamaha Team	Yamaha	Yamaha YZR-M1	Jorge Lorenzo	All
Repsol Honda Team	Honda	Honda RC212V	Dani Pedrosa	All
Repsol Honda Team	Honda	Honda RC212V	Andrea Dovizioso	All
Ducati Marlboro Team	Ducati	Ducati Desmosedici GP9	Casey Stoner	1-10, 14-17
Ducati Marlboro Team	Ducati	Ducati Desmosedici GP9	Nicky Hayden	All
Ducati Marlboro Team	Ducati	Ducati Desmosedici GP9	Mika Kallio 1	11-13
Monster Yamaha Tech 3	Yamaha	Yamaha YZR-M1	Colin Edwards	All
Monster Yamaha Tech 3	Yamaha	Yamaha YZR-M1	James Toseland	All
Rizla Suzuki MotoGP	Suzuki	Suzuki GSV-R	Chris Vermeulen	All
Rizla Suzuki MotoGP	Suzuki	Suzuki GSV-R	Loris Capirossi	All
Pramac Racing	Ducati	Ducati Desmosedici GP9	Mika Kallio	1-7, 9-10, 14-17
Pramac Racing	Ducati	Ducati Desmosedici GP9	Niccolò Canepa	1-15
Pramac Racing	Ducati	Ducati Desmosedici GP9	Michel Fabrizio 2	11
Pramac Racing	Ducati	Ducati Desmosedici GP9	Aleix Espargaró 3	12-13, 16-17
San Carlo Honda Gresini	Honda	Honda RC212V	Toni Elías	All
San Carlo Honda Gresini	Honda	Honda RC212V	Alex de Angelis	All
Scot Racing Team	Honda	Honda RC212V	Yuki Takahashi	1-7
Scot Racing Team	Honda	Honda RC212V	Gábor Talmácsi	6-17
Hayate Racing Team	Kawasaki	Kawasaki Ninja ZX-RR	Marco Melandri	All
LCR Honda MotoGP	Honda	Honda RC212V	Randy de Puniet	All
Grupo Francisco Hernando	Ducati	Ducati Desmosedici GP9	Sete Gibernau	1-3, 6-8
Sterilgarda Yamaha Team	Yamaha	Yamaha YZR-M1	Ben Spies	17
