Rank	Heat	Athlete	Country	Time
1	1	Shelly-Ann Fraser	Jamaica	11.00
2	2	Kerron Stewart	Jamaica	11.05
3	1	Muna Lee	United States	11.06
4	1	Lauryn Williams	United States	11.10
5	1	Sherone Simpson	Jamaica	11.11
6	2	Torri Edwards	United States	11.18
7	2	Jeanette Kwakye	Great Britain	11.19
8	2	Debbie Ferguson	Bahamas	11.22
8	1	Chandra Sturrup	Bahamas	11.22
10	2	Yulia Nestsiarenka	Belarus	11.26
11	2	Kim Gevaert	Belgium	11.30
12	2	Yevgeniya Polyakova	Russia	11.38
13	2	Oludamola Osayomi	Nigeria	11.44
14	1	Lina Grincikaite	Lithuania	11.50
15	1	Ivet Lalova	Bulgaria	11.51
15	1	Vida Anim	Ghana	11.51
