Region	Date	Label	Format	Catalog
United Kingdom	November 18, 2002	Nebula	CD , Maxi	NEBCD029
United Kingdom	November 18, 2002	Nebula	vinyl , 12"	NEBT029
United Kingdom	November 18, 2002	Nebula	vinyl , 12"	NEBTX029
United Kingdom	2003	Nebula	CDr, Promo	none
United Kingdom	2002	Nebula	vinyl , 12" , Promo	NEBDJ029
United Kingdom	2002	Nebula	vinyl , 12" , Promo	NEBDJX029
Netherlands	2002	Magik Muzik	vinyl , 12"	Magik Muzik 808-5
Sweden	2002	Playground Music Scandinavia	CD , Maxi, Promo	none
Germany	2002	Jive	vinyl , 12"	RTD 103.4078.0
Spain	2003	Electropolis	vinyl , 12"	VLMX 1427-3
