Tie no	Home team	Score	Away team	Date
1	Blackpool	0–1	Tottenham Hotspur	05/01/1991
2	Chester City	2–3	Bournemouth	05/01/1991
3	Barnet	0–5	Portsmouth	05/01/1991
4	Burnley	0–1	Manchester City	06/01/1991
5	Southampton	3–2	Ipswich Town	05/01/1991
6	Blackburn Rovers	1–1	Liverpool	05/01/1991
Replay	Liverpool	3–0	Blackburn Rovers	08/01/1991
7	Aston Villa	1–1	Wimbledon	05/01/1991
Replay	Wimbledon	1–0	Aston Villa	09/01/1991
8	Bolton Wanderers	1–0	Barrow	05/01/1991
9	Wolverhampton Wanderers	0–1	Cambridge United	05/01/1991
10	Middlesbrough	0–0	Plymouth Argyle	05/01/1991
Replay	Plymouth Argyle	1–2	Middlesbrough	14/01/1991
11	West Bromwich Albion	2–4	Woking	05/01/1991
12	Shrewsbury Town	4–1	Watford	05/01/1991
13	Sheffield United	1–3	Luton Town	05/01/1991
14	Newcastle United	2–0	Derby County	05/01/1991
15	Barnsley	1–1	Leeds United	06/01/1991
Replay	Leeds United	4–0	Barnsley	09/01/1991
16	Bristol Rovers	0–2	Crewe Alexandra	05/01/1991
17	Coventry City	1–1	Wigan Athletic	05/01/1991
Replay	Wigan Athletic	0–1	Coventry City	09/01/1991
18	West Ham United	0–0	Aldershot	05/01/1991
Replay	West Ham United	6–1	Aldershot	16/01/1991
19	Brighton & Hove Albion	3–2	Scunthorpe United	05/01/1991
20	Manchester United	2–1	Queens Park Rangers	07/01/1991
21	Norwich City	2–1	Bristol City	05/01/1991
22	Millwall	2–1	Leicester City	05/01/1991
23	Hull City	2–5	Notts County	05/01/1991
24	Oldham Athletic	3–1	Brentford	05/01/1991
25	Crystal Palace	0–0	Nottingham Forest	06/01/1991
Replay	Nottingham Forest	2–2	Crystal Palace	21/01/1991
Replay	Nottingham Forest	3–0	Crystal Palace	28/01/1991
26	Chelsea	1–3	Oxford United	05/01/1991
27	Mansfield Town	0–2	Sheffield Wednesday	05/01/1991
28	Port Vale	2–1	Peterborough United	05/01/1991
29	Charlton Athletic	1–2	Everton	05/01/1991
30	Arsenal	2–1	Sunderland	05/01/1991
31	Leyton Orient	1–1	Swindon Town	05/01/1991
Replay	Swindon Town	1–0	Leyton Orient	21/01/1991
32	Swansea City	0–0	Rotherham United	05/01/1991
Replay	Rotherham United	4–0	Swansea City	21/01/1991
