Week	Date	Opponent	Result	TV Time	Attendance
1	September 7, 2003	Oakland Raiders	W 25–20	ESPN 7:30pm	68,809
2	September 14, 2003	at Indianapolis Colts	L 7-33	CBS 12:00pm	56,999
3	September 21, 2003	New Orleans Saints	W 27–12	FOX 12:00pm	68,809
4	September 28, 2003	at Pittsburgh Steelers	W 30–13	CBS 12:00pm	63,244
5	October 5, 2003	at New England Patriots	L 30-38	CBS 12:00pm	68,436
6	October 12, 2003	Houston Texans	W 38–17	CBS 12:00pm	68,809
7	October 19, 2003	at Carolina Panthers	W 37–17	CBS 12:00pm	72,851
8	October 26, 2003	at Jacksonville Jaguars	W 30–17	CBS 12:00pm	55,918
9	Bye	Bye	Bye	Bye	Bye
10	November 9, 2003	Miami Dolphins	W 31–7	CBS 12:00pm	68,809
11	November 16, 2003	Jacksonville Jaguars	W 10–3	CBS 12:00pm	68,809
12	November 23, 2003	at Atlanta Falcons	W 38–31	CBS 3:05pm	70,891
13	December 1, 2003	at New York Jets	L 17-24	ABC 8:00pm	77,710
14	December 7, 2003	Indianapolis Colts	L 27-29	CBS 12:00pm	68,809
15	December 14, 2003	Buffalo Bills	W 28–26	CBS 12:00pm	68,809
16	December 21, 2003	at Houston Texans	W 27–24	CBS 12:00pm	70,758
17	December 28, 2003	Tampa Bay Buccaneers	W 33–13	FOX 12:00pm	68,809
