Year	Title	Genre	Role	Director
1932	A Bill of Divorcement	Drama	Sidney Fairfield	George Cukor
1933	Christopher Strong	Drama	Lady Cynthia Darrington	Dorothy Arzner
1933	Morning Glory	Drama	Eva Lovelace	Lowell Sherman
1933	Little Women	Period drama	Josephine "Jo" March	George Cukor
1934	Spitfire	Drama	Trigger Hicks	John Cromwell
1934	The Little Minister	Period drama	Babbie	Richard Wallace
1935	Break of Hearts	Romantic drama	Constance Dane	Philip Moeller
1935	Alice Adams	Drama	Alice Adams	George Stevens
1935	Sylvia Scarlett	Comedy	Sylvia Scarlett	George Cukor
1936	Mary of Scotland	Period drama	Mary Stuart	John Ford
1936	A Woman Rebels	Period drama	Pamela Thislewaite	Mark Sandrich
1937	Quality Street	Period comedy	Phoebe Throssel	George Stevens
1937	Stage Door	Comedy drama	Terry Randall	Gregory La Cava
1938	Bringing Up Baby	Comedy	Susan Vance	Howard Hawks
1938	Holiday	Comedy	Linda Seton	George Cukor
1940	The Philadelphia Story	Comedy	Tracy Lord	George Cukor
1942	Woman of the Year	Romantic comedy	Tess Harding	George Stevens
1942	Keeper of the Flame	Mystery	Christine Forrest	George Cukor
1943	Stage Door Canteen	Musical	Herself	Frank Borzage
1944	Dragon Seed	Drama	Jade	Jack Conway
1945	Without Love	Comedy	Jamie Rowan	Harold S. Bucquet
1946	Undercurrent	Film noir	Ann Hamilton	Vincente Minnelli
1947	The Sea of Grass	Western drama	Lutie Cameron	Elia Kazan
1947	Song of Love	Period drama	Clara Wieck Schumann	Clarence Brown
1948	State of the Union	Drama	Mary Matthews	Frank Capra
1949	Adam's Rib	Comedy	Amanda Bonner	George Cukor
1951	The African Queen	Adventure	Rose Sayer	John Huston
1952	Pat and Mike	Comedy	Patricia "Pat" Pemberton	George Cukor
1955	Summertime	Romantic drama	Jane Hudson	David Lean
1956	The Rainmaker	Drama	Lizzie Curry	Joseph Anthony
1956	The Iron Petticoat	Comedy	Vinka Kovelenko	Ralph Thomas
1957	Desk Set	Comedy	Bunny Watson	Walter Lang
1959	Suddenly, Last Summer	Drama	Violet Venable	Joseph L. Mankiewicz
1962	Long Day's Journey Into Night	Period drama	Mary Tyrone	Sidney Lumet
1967	Guess Who's Coming to Dinner	Comedy drama	Christina Drayton	Stanley Kramer
1968	The Lion in Winter	Period drama	Eleanor of Aquitaine	Anthony Harvey
1969	The Madwoman of Chaillot	Comedy drama	Aurelia, The Madwoman of Chaillot	Bryan Forbes
1971	The Trojan Women	Period drama	Hecuba	Michael Cacoyannis
1973	A Delicate Balance	Drama	Agnes	Tony Richardson
1975	Rooster Cogburn	Western	Eula Goodnight	Stuart Millar
1978	Olly, Olly, Oxen Free	Adventure comedy	Miss Pudd	Richard A. Colla
1981	On Golden Pond	Drama	Ethel Thayer	Mark Rydell
1985	Grace Quigley	Comedy	Grace Quigley	Anthony Harvey
1994	Love Affair	Romantic drama	Ginny	Glenn Gordon Caron
