Rank	# of Titles	School	City	Sport	First	Last
1	27	Artesia	Artesia	Football	1957	2010
2	22	Laguna Acoma	Casa Blanca	Boys Cross Country	1969	2012
2	22	Highland	Albuquerque	Boys Track	1952	2009
3	21	Albuquerque Academy	Albuquerque	Boys Swimming	1972	2010
4	20	Albuquerque High	Albuquerque	Boys Track	1913	1960
5	19	Kirtland Central	Kirtland	Girls Basketball	1980	2012
6	18	Lovington	Lovington	Football	1951	2011
6	18	Gallup	Gallup	Boys Cross Country	1983	2007
6	18	Los Alamos	Los Alamos	Boys Swimming	1953	2005
7	17	Lovington	Lovington	Boys Track	1966	2010
7	17	St. Pius X	Albuquerque	Boys Soccer	1988	2008
7	17	Goddard	Roswell	Girls Golf	1987	2006
8	16	Los Alamos	Los Alamos	Girls Cross Country	1981	2012
8	16	Albuquerque Academy	Albuquerque	Girls Swimming	1975	2012
8	16	Eunice	Eunice	Baseball	1960	2010
8	16	Carlsbad	Carlsbad	Softball	1976	2010
8	16	Fort Sumner	Fort Sumner	Boys Track	1955	2010
8	16	Hobbs	Hobbs	Boys Basketball	1956	2008
9	15	Albuquerque Academy	Albuquerque Academy	Boys Tennis	1993	2013
9	15	Los Alamos	Los Alamos	Girls Swimming	1970	2004
10	14	La Cueva	La Cueva	Girls Soccer	1989	2012
10	14	Zuni	Zuni	Boys Cross Country	1968	2007
10	14	Gallup	Gallup	Girls Cross Country	1988	2005
10	14	Aztec	Aztec	Wrestling	1963	2002
10	14	Eldorado	Albuquerque	Girls Basketball	1975	1995
