Round / Race	Circuit	Date	Pole Position	Fastest Lap	Winning driver	Winning team
1 / 1	Eastern Creek Raceway	4 February	Stuart Kostera	Chris Alajajian	Stuart Kostera	Team BRM
1 / 2	Eastern Creek Raceway	4 February	Charles Hollings	Chris Alajajian	Tim Macrow	Scud Racing
2 / 1	Oran Park Raceway	22 April	Charles Hollings	Charles Hollings	Charles Hollings	Astuti Motorsport
2 / 2	Oran Park Raceway	22 April	Charles Hollings	Marco Mapelli	Charles Hollings	Astuti Motorsport
3 / 1	Phillip Island	6 May	James Winslow	Mat Sofi	James Winslow	Piccola Scuderia Course
3 / 2	Phillip Island	6 May	James Winslow	Leanne Tander	Leanne Tander	Tandersport
4 / 1	Mallala Motor Sport Park	1 July	Michael Trimble	Marco Mapelli	James Winslow	Piccola Scuderia Course
4 / 2	Mallala Motor Sport Park	1 July	Michael Trimble	Michael Trimble	Tim Macrow	Scud Racing
5 / 1	Eastern Creek Raceway	15 July	Tim Macrow	Marco Mapelli	Charles Hollings	Astuti Motorsport
5 / 2	Eastern Creek Raceway	15 July	Leanne Tander	Marco Mapelli	Marco Mapelli	Team BRM
6 / 1	Phillip Island	12 August	James Winslow	Mat Sofi	Tim Macrow	Scud Racing
6 / 2	Phillip Island	12 August	Cancelled due to rain	Leanne Tander	Leanne Tander	Tandersport
7 / 1	Symmons Plains Raceway	2 September	Leanne Tander	James Winslow	James Winslow	Astuti Motorsport
7 / 2	Tasmanian Super Prix	2 September	Charles Hollings	Mat Sofi	Barton Mawer	Team BRM
8 / 1	Oran Park Raceway	4 November	Leanne Tander	Leanne Tander	Charles Hollings	Astuti Motorsport
8 / 2	Oran Park Raceway	4 November	Leanne Tander	Tim Macrow	Tim Macrow	Scud Racing
